calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,8.5,11.8,6.3,0.0,,,,,4.7,,,,,
2016-01-02,10.1,14.2,5.8,0.0,,,,,2.3,,,,,
2016-01-03,11.7,15.9,8.9,4.0,,,,,1.8,,,,,
2016-01-04,13.3,17.5,8.8,0.0,,,,,3.4,,,,,
2016-01-05,11.4,14.6,8.9,0.0,,,,,5.6,,,,,
2016-01-06,10.3,12.6,8.2,0.0,,,,,3.2,,,,,
2016-01-07,9.8,12.3,8.0,0.0,,,,,6.5,,,,,
2016-01-08,8.5,12.5,6.0,0.0,,,,,4.7,,,,,
2016-01-09,7.3,10.6,4.9,0.0,,,,,5.2,,,,,
2016-01-10,8.3,12.0,5.4,0.0,,,,,4.9,,,,,
2016-01-11,8.9,12.3,6.0,0.0,,,,,4.4,,,,,
2016-01-12,7.9,11.0,3.4,0.0,,,,,5.0,,,,,
2016-01-13,6.6,11.4,1.9,0.0,,,,,4.1,,,,,
2016-01-14,6.6,10.4,3.3,0.0,,,,,5.3,,,,,
2016-01-15,6.1,10.4,3.2,0.0,,,,,5.5,,,,,
2016-01-16,6.4,11.5,1.7,0.0,,,,,3.3,,,,,
2016-01-17,7.9,12.6,1.7,0.0,,,,,3.0,,,,,
2016-01-18,10.2,12.5,7.7,17.0,,,,,7.7,,,,,
2016-01-19,3.5,7.8,1.0,0.5,,,,,8.2,,,,,
2016-01-20,4.7,7.8,0.8,0.0,,,,,8.7,,,,,
2016-01-21,5.8,8.7,3.2,0.0,,,,,4.3,,,,,
2016-01-22,6.6,10.8,3.3,0.0,,,,,4.9,,,,,
2016-01-23,4.8,8.0,2.1,0.0,,,,,3.8,,,,,
2016-01-24,-0.2,3.1,-2.5,0.0,,,,,8.8,,,,,
2016-01-25,1.2,4.6,-3.7,0.0,,,,,5.8,,,,,
2016-01-26,4.1,8.6,-0.4,0.0,,,,,2.9,,,,,
2016-01-27,7.7,11.3,3.5,0.0,,,,,4.3,,,,,
2016-01-28,9.9,14.7,5.7,0.0,,,,,2.4,,,,,
2016-01-29,14.6,18.2,9.6,56.5,,,,,4.5,,,,,
2016-01-30,9.9,13.3,7.2,2.0,,,,,4.7,,,,,
2016-01-31,8.9,12.8,6.3,0.5,,,,,3.8,,,,,
2016-02-01,8.0,9.2,6.7,0.0,,,,,4.8,,,,,
2016-02-02,7.3,10.7,3.2,0.0,,,,,5.8,,,,,
2016-02-03,6.3,10.5,2.8,0.0,,,,,4.8,,,,,
2016-02-04,7.2,11.8,2.7,0.0,,,,,2.7,,,,,
2016-02-05,8.2,13.4,4.6,0.0,,,,,3.8,,,,,
2016-02-06,6.8,9.4,4.5,0.0,,,,,5.6,,,,,
2016-02-07,5.5,10.0,1.8,0.0,,,,,5.6,,,,,
2016-02-08,6.6,11.6,1.1,0.0,,,,,2.5,,,,,
2016-02-09,8.8,13.1,4.4,0.0,,,,,6.7,,,,,
2016-02-10,6.6,10.4,4.0,0.0,,,,,6.3,,,,,
