calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.1,13.2,-0.8,0.0,7.4,,,,0.6,,,,,
2016-01-02,4.7,13.4,-1.8,1.5,3.5,,,,0.6,,,,,
2016-01-03,8.6,14.9,5.8,5.5,3.2,,,,0.3,,,,,
2016-01-04,7.3,18.0,2.8,0.0,7.4,,,,0.4,,,,,
2016-01-05,7.3,14.8,2.5,0.0,1.2,,,,0.5,,,,,
2016-01-06,8.3,12.3,6.5,0.5,0.0,,,,0.2,,,,,
2016-01-07,6.5,12.7,0.8,0.0,7.5,,,,1.3,,,,,
2016-01-08,3.9,11.6,-0.4,0.0,1.7,,,,0.6,,,,,
2016-01-09,3.1,11.5,-1.5,0.0,7.5,,,,0.9,,,,,
2016-01-10,3.1,11.5,-2.5,0.0,7.3,,,,0.7,,,,,
2016-01-11,3.9,10.6,-1.4,0.0,0.8,,,,0.4,,,,,
2016-01-12,4.6,10.4,-1.1,1.0,0.7,,,,0.3,,,,,
2016-01-13,2.4,10.3,-2.0,0.0,4.3,,,,0.6,,,,,
2016-01-14,2.6,9.3,-2.0,0.0,5.3,,,,1.2,,,,,
2016-01-15,2.7,10.2,-2.1,0.0,7.3,,,,0.8,,,,,
2016-01-16,2.2,12.6,-3.4,0.0,7.5,,,,0.6,,,,,
2016-01-17,4.1,11.1,-2.9,1.0,3.1,,,,1.2,,,,,
2016-01-18,9.2,11.9,4.9,22.5,4.1,,,,2.3,,,,,
2016-01-19,2.3,6.2,-0.2,1.0,1.7,,,,1.9,,,,,
2016-01-20,1.5,6.1,-1.7,0.5,5.4,,,,1.8,,,,,
2016-01-21,2.4,8.5,-3.1,0.0,4.6,,,,0.7,,,,,
2016-01-22,4.3,11.1,-0.1,0.0,5.9,,,,0.7,,,,,
2016-01-23,2.2,7.6,-1.7,0.5,0.0,,,,0.3,,,,,
2016-01-24,-0.5,2.7,-3.6,0.0,7.4,,,,2.4,,,,,
2016-01-25,-0.4,4.5,-3.7,0.0,5.2,,,,1.7,,,,,
2016-01-26,0.3,8.6,-4.8,0.0,2.4,,,,0.6,,,,,
2016-01-27,3.2,11.3,-2.9,0.0,6.6,,,,0.9,,,,,
2016-01-28,6.0,15.4,-2.3,0.0,6.7,,,,0.7,,,,,
2016-01-29,11.0,17.5,7.2,126.0,0.0,,,,0.4,,,,,
2016-01-30,10.2,13.4,6.1,8.0,0.0,,,,0.6,,,,,
2016-01-31,6.9,13.7,3.2,0.5,8.0,,,,0.8,,,,,
2016-02-01,5.6,9.4,2.9,0.0,0.0,,,,0.5,,,,,
2016-02-02,5.1,12.8,-0.4,0.0,5.5,,,,0.7,,,,,
2016-02-03,2.7,11.7,-2.3,0.0,7.9,,,,0.6,,,,,
2016-02-04,3.2,12.6,-2.9,0.0,6.9,,,,0.6,,,,,
2016-02-05,4.4,15.1,-2.1,0.0,7.1,,,,0.5,,,,,
2016-02-06,2.6,10.1,-1.8,0.0,2.7,,,,0.7,,,,,
2016-02-07,2.9,11.4,-2.3,0.0,5.3,,,,1.2,,,,,
2016-02-08,2.9,12.7,-3.1,0.0,7.9,,,,0.6,,,,,
2016-02-09,5.5,13.5,-1.8,0.0,6.1,,,,1.6,,,,,
2016-02-10,4.1,12.0,-1.8,0.0,8.2,,,,1.2,,,,,
2016-02-11,4.2,15.3,-3.3,0.0,8.5,,,,0.6,,,,,
2016-02-12,7.5,15.4,-0.8,0.0,2.8,,,,0.3,,,,,
2016-02-13,12.5,18.2,6.8,60.5,0.0,,,,1.3,,,,,
2016-02-14,16.9,21.6,10.4,34.5,3.1,,,,2.4,,,,,
2016-02-15,6.7,10.8,2.8,0.0,5.4,,,,2.1,,,,,
2016-02-16,3.0,8.1,0.0,0.0,8.2,,,,1.5,,,,,
2016-02-17,3.0,9.8,-1.6,0.0,7.0,,,,1.2,,,,,
2016-02-18,3.7,13.2,-3.0,0.0,8.0,,,,0.7,,,,,
2016-02-19,7.3,17.4,0.3,0.0,8.0,,,,0.9,,,,,
2016-02-20,10.0,17.3,4.8,62.0,0.0,,,,1.2,,,,,
2016-02-21,7.4,11.7,1.5,0.0,8.9,,,,1.7,,,,,
2016-02-22,5.1,10.2,0.0,0.0,2.0,,,,0.7,,,,,
2016-02-23,7.8,13.0,3.7,0.0,0.0,,,,0.4,,,,,
2016-02-24,6.8,13.5,3.1,0.0,8.1,,,,1.0,,,,,
2016-02-25,3.9,11.7,-1.6,0.0,9.1,,,,1.0,,,,,
2016-02-26,3.2,10.9,-2.4,0.0,8.3,,,,1.3,,,,,
2016-02-27,4.9,13.9,-2.8,0.0,6.4,,,,0.8,,,,,
2016-02-28,7.8,16.3,1.1,0.0,6.4,,,,0.7,,,,,
2016-02-29,8.2,17.2,0.8,1.0,6.2,,,,1.7,,,,,
2016-03-01,1.8,7.7,-2.2,0.0,8.6,,,,1.2,,,,,
2016-03-02,3.2,12.5,-3.2,0.0,9.3,,,,1.0,,,,,
2016-03-03,5.7,17.2,-2.5,0.0,9.3,,,,0.7,,,,,
2016-03-04,7.5,18.7,-1.4,0.0,5.8,,,,0.6,,,,,
