calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,9.2,12.4,6.3,,9.6,,,,3.6,6.0,1020.1,52,1028.6,
2016-01-02,11.2,14.6,7.2,2.5,4.9,,,,3.2,8.2,1016.9,62,1025.4,
2016-01-03,12.4,15.7,9.6,7.5,3.8,,,,2.0,11.4,1011.1,80,1019.4,
2016-01-04,14.5,18.3,11.2,,9.4,,,,3.2,9.7,1009.2,60,1017.5,
2016-01-05,13.1,15.4,10.7,0.0,1.2,,,,3.1,6.7,1011.6,45,1019.9,
2016-01-06,11.2,13.0,8.9,1.0,0.0,,,,1.9,9.3,1009.7,70,1018.1,
2016-01-07,10.6,13.2,8.5,,9.4,,,,5.0,6.3,1007.6,49,1016.0,
2016-01-08,9.4,12.0,7.3,,0.2,,,,3.6,6.6,1008.2,56,1016.6,
2016-01-09,8.2,11.3,6.0,,9.6,,,,4.6,5.3,1012.1,49,1020.5,
2016-01-10,9.1,12.6,6.4,,9.4,,,,3.6,5.7,1013.2,50,1021.7,
2016-01-11,9.8,12.2,5.6,,2.1,,,,2.8,6.0,1010.8,50,1019.2,
2016-01-12,8.6,10.9,6.1,1.5,0.1,,,,2.6,6.8,1005.7,61,1014.1,
2016-01-13,7.8,11.0,4.9,0.0,1.9,,,,3.3,5.9,1006.6,56,1015.1,
2016-01-14,7.5,10.4,5.2,,8.3,,,,5.1,5.1,1008.6,49,1017.1,
2016-01-15,7.6,10.9,4.6,,8.9,,,,4.2,4.5,1010.0,44,1018.5,
2016-01-16,8.2,12.5,4.4,,9.9,,,,3.1,5.2,1012.0,49,1020.5,
2016-01-17,8.9,11.8,5.3,4.0,4.9,,,,5.8,6.9,1009.2,60,1017.7,
2016-01-18,11.4,13.8,9.3,21.0,6.5,,,,10.0,9.5,990.6,70,998.8,
2016-01-19,4.5,9.8,1.8,0.5,1.9,,,,8.0,4.7,1000.9,56,1009.5,
2016-01-20,5.2,8.0,0.5,0.0,9.3,,,,8.4,5.0,1009.5,57,1018.1,
2016-01-21,7.0,10.1,4.2,,6.9,,,,3.2,4.9,1012.3,50,1020.9,
2016-01-22,7.8,11.3,5.2,,6.4,,,,3.1,5.5,1012.2,52,1020.7,
2016-01-23,5.7,8.8,4.3,0.5,0.0,,,,3.0,5.6,1009.4,61,1018.0,
2016-01-24,1.0,4.4,-1.5,0.0,4.0,,,,7.3,3.2,1004.4,48,1013.1,
2016-01-25,2.3,5.3,-1.8,0.0,9.4,,,,5.9,4.1,1014.0,58,1022.7,
2016-01-26,5.8,9.0,2.0,,4.1,,,,3.9,4.8,1016.7,52,1025.3,
2016-01-27,9.0,12.0,6.8,,7.7,,,,4.6,5.3,1019.5,47,1028.0,
2016-01-28,11.3,14.9,7.7,0.0,7.4,,,,3.7,7.4,1019.6,55,1028.0,
2016-01-29,13.9,19.2,10.4,57.0,0.0,,,,5.2,14.6,1009.9,91,1018.2,
2016-01-30,10.7,12.0,8.2,4.5,0.0,,,,3.4,11.7,1008.1,90,1016.5,
2016-01-31,9.9,13.7,6.8,0.0,8.9,,,,3.3,7.5,1013.5,63,1022.0,
2016-02-01,9.4,10.6,8.2,0.0,0.2,,,,2.9,6.4,1011.3,54,1019.7,
2016-02-02,8.6,12.2,6.7,,6.6,,,,2.9,5.9,1009.5,53,1018.0,
2016-02-03,7.1,12.4,3.8,,9.1,,,,2.9,4.5,1013.1,45,1021.7,
2016-02-04,7.9,11.9,3.5,,8.9,,,,3.1,6.2,1013.1,58,1021.6,
2016-02-05,9.7,15.1,4.8,,8.1,,,,2.6,5.3,1008.8,45,1017.3,
2016-02-06,8.1,11.0,5.3,,1.9,,,,3.4,4.5,1005.6,42,1014.1,
