calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,8.6,12.6,6.6,0.0,8.0,,,,2.8,,,,,
2016-01-02,10.3,15.5,6.7,0.0,3.6,,,,3.1,,,,,
2016-01-03,12.1,16.5,9.9,0.0,3.5,,,,1.9,,,,,
2016-01-04,13.1,17.8,9.7,0.0,7.5,,,,3.3,,,,,
2016-01-05,10.7,14.1,9.2,0.0,0.3,,,,2.3,,,,,
2016-01-06,10.3,13.1,8.8,0.0,2.3,,,,2.2,,,,,
2016-01-07,9.6,13.5,7.9,0.0,3.7,,,,3.7,,,,,
2016-01-08,8.4,11.6,6.5,0.0,2.4,,,,3.9,,,,,
2016-01-09,8.0,11.8,5.9,0.0,6.9,,,,4.3,,,,,
2016-01-10,9.0,13.3,6.6,0.0,4.1,,,,2.8,,,,,
2016-01-11,9.3,13.3,7.0,0.0,6.1,,,,2.7,,,,,
2016-01-12,7.9,12.1,5.0,0.0,3.9,,,,3.4,,,,,
2016-01-13,7.0,11.6,3.5,0.0,6.2,,,,4.2,,,,,
2016-01-14,6.6,10.5,4.5,0.0,3.0,,,,3.5,,,,,
2016-01-15,6.9,11.2,5.0,0.0,9.4,,,,3.5,,,,,
2016-01-16,7.0,11.5,5.1,0.0,8.6,,,,2.3,,,,,
2016-01-17,7.4,9.6,4.8,1.0,3.2,,,,2.7,,,,,
2016-01-18,8.4,13.0,4.3,7.5,2.9,,,,6.2,,,,,
2016-01-19,3.2,6.5,0.4,1.5,2.3,,,,6.8,,,,,
2016-01-20,5.3,9.8,1.1,0.0,7.4,,,,9.1,,,,,
2016-01-21,6.0,8.6,4.3,0.0,1.9,,,,2.6,,,,,
2016-01-22,5.7,7.8,3.9,0.0,5.2,,,,3.6,,,,,
2016-01-23,4.8,7.2,2.3,0.0,0.0,,,,3.5,,,,,
2016-01-24,-0.4,2.9,-2.6,0.5,4.1,,,,6.1,,,,,
