calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.8,11.1,3.9,,9.1,,,,3.1,6.2,1027.5,60,1029.8,2.5
2016-01-02,7.7,13.5,2.2,0.0,1.9,,,,3.3,6.8,1023.6,65,1025.9,7.5
2016-01-03,11.2,16.1,8.1,0.0,3.8,,,,2.8,9.5,1017.4,71,1019.6,7.5
2016-01-04,11.4,16.6,6.1,,6.8,,,,3.6,9.5,1016.5,72,1018.8,3.3
2016-01-05,9.9,12.9,6.9,0.0,0.7,,,,2.5,8.5,1019.7,70,1021.9,7.5
2016-01-06,9.8,11.9,8.0,,1.3,,,,1.8,8.6,1017.3,71,1019.6,10.0
2016-01-07,9.7,12.1,7.8,,3.9,,,,3.6,6.9,1015.7,58,1017.9,4.3
2016-01-08,7.9,11.9,5.2,0.0,2.9,,,,3.9,6.7,1015.7,63,1018.0,9.0
2016-01-09,7.1,10.2,4.2,0.0,4.1,,,,3.3,5.3,1019.7,53,1022.0,4.5
2016-01-10,7.1,11.2,3.7,,3.5,,,,2.5,6.2,1020.6,62,1022.9,7.5
2016-01-11,7.4,11.8,3.4,,5.9,,,,2.0,6.5,1018.3,64,1020.6,8.8
2016-01-12,7.5,10.2,4.3,,3.8,,,,3.8,6.5,1013.7,63,1016.0,6.0
2016-01-13,6.1,11.5,1.4,0.0,7.1,,,,4.0,5.5,1014.0,60,1016.2,6.8
2016-01-14,6.1,9.0,2.4,0.5,1.6,,,,3.6,5.6,1016.1,60,1018.4,8.8
2016-01-15,6.3,9.7,2.2,,7.9,,,,2.8,5.1,1018.0,53,1020.3,7.0
2016-01-16,5.4,10.3,1.3,,9.4,,,,2.8,5.5,1019.7,63,1022.0,0.8
2016-01-17,6.5,10.4,1.9,1.5,3.7,,,,3.7,5.6,1015.6,59,1017.8,10.0
2016-01-18,8.7,12.4,6.1,8.5,1.0,,,,6.8,8.2,998.7,74,1000.9,8.5
2016-01-19,3.7,6.7,0.5,1.5,3.2,,0,,10.4,4.4,1008.8,56,1011.1,7.5
2016-01-20,5.2,8.8,1.6,,4.3,,0,,6.9,5.0,1017.1,56,1019.4,7.3
2016-01-21,5.2,7.9,1.7,0.0,3.2,,,,2.6,5.8,1019.6,66,1021.9,7.5
2016-01-22,5.6,9.1,3.7,0.0,6.3,,,,4.2,5.8,1020.3,64,1022.6,9.5
2016-01-23,4.5,7.3,2.6,0.0,0.0,,,,3.5,5.1,1017.4,60,1019.7,10.0
2016-01-24,-0.4,2.8,-2.7,0.0,5.1,,1,1,6.6,2.9,1013.5,50,1015.8,8.5
2016-01-25,2.9,6.3,-1.6,0.0,6.7,,0,,5.5,4.0,1021.4,54,1023.7,7.5
2016-01-26,4.4,8.4,-0.8,0.0,4.6,,,,3.7,5.3,1024.1,64,1026.4,7.3
2016-01-27,8.0,10.8,4.6,,3.0,,,,4.2,5.7,1026.8,53,1029.1,9.5
2016-01-28,7.9,13.1,2.3,0.0,3.5,,,,3.1,7.0,1026.5,67,1028.8,5.5
2016-01-29,9.2,10.9,7.7,58.0,0.0,,,,3.4,10.8,1016.0,92,1018.2,10.0
2016-01-30,8.5,10.2,7.4,5.5,0.9,,,,5.2,7.7,1017.3,70,1019.6,10.0
2016-01-31,8.2,11.8,5.6,,9.2,,,,3.2,6.0,1021.5,56,1023.7,4.3
2016-02-01,6.9,9.4,5.2,0.0,0.3,,,,2.2,7.0,1018.8,71,1021.1,10.0
2016-02-02,6.7,9.8,4.1,0.0,7.0,,,,3.5,6.1,1017.9,63,1020.2,7.8
2016-02-03,5.0,9.4,1.0,,10.0,,,,3.6,4.8,1021.6,56,1023.9,0.8
2016-02-04,5.6,10.5,0.6,,8.8,,,,3.3,5.3,1020.3,60,1022.6,5.3
2016-02-05,6.0,10.7,2.0,,6.8,,,,2.7,5.7,1016.9,63,1019.2,6.3
2016-02-06,5.8,9.0,1.7,,4.2,,,,3.5,5.3,1013.9,60,1016.2,6.8
2016-02-07,4.9,8.0,2.1,0.5,6.6,,,,4.8,5.2,1016.6,60,1018.9,5.0
2016-02-08,5.4,10.9,0.1,,10.0,,,,3.1,4.7,1016.5,54,1018.8,3.8
2016-02-09,7.7,11.8,4.2,0.0,4.7,,,,6.1,5.2,1014.4,50,1016.7,5.8
2016-02-10,6.5,9.6,3.6,0.0,8.6,,,,4.1,4.7,1023.6,49,1025.9,5.3
2016-02-11,6.6,12.3,1.2,,10.2,,,,3.4,4.4,1027.7,48,1030.0,5.3
2016-02-12,11.5,17.7,3.8,,6.3,,,,4.5,8.4,1025.5,60,1027.8,7.5
2016-02-13,17.7,20.2,14.1,51.5,0.3,,,,6.7,15.8,1014.2,78,1016.4,9.8
2016-02-14,16.2,20.3,10.5,37.0,1.5,,,,6.8,13.9,1002.9,73,1005.1,9.5
2016-02-15,6.5,10.7,2.8,3.0,2.1,,,,6.0,6.3,1008.3,66,1010.5,9.5
2016-02-16,5.1,8.2,2.4,0.0,5.8,,,,5.3,4.6,1014.9,52,1017.2,3.8
2016-02-17,6.9,9.8,4.0,0.0,7.7,,,,5.9,5.4,1018.5,55,1020.8,4.0
2016-02-18,6.2,10.9,0.5,,9.6,,,,3.3,6.0,1023.5,65,1025.8,3.5
2016-02-19,9.7,15.5,4.2,,6.9,,,,2.9,7.0,1025.6,60,1027.9,5.0
2016-02-20,9.2,10.6,8.1,43.5,0.0,,,,3.7,9.3,1014.5,80,1016.8,10.0
2016-02-21,8.5,11.1,5.2,0.0,8.1,,,,5.8,6.1,1021.4,55,1023.7,7.0
2016-02-22,6.3,9.0,3.1,,0.7,,,,2.5,5.3,1028.0,55,1030.3,8.3
2016-02-23,7.9,9.9,6.2,0.0,0.0,,,,2.0,7.4,1022.7,69,1025.0,8.3
2016-02-24,6.1,8.9,3.1,0.0,3.9,,,,5.9,5.0,1023.5,53,1025.8,7.0
2016-02-25,5.0,8.8,0.9,0.0,10.5,,,,3.5,4.2,1027.4,50,1029.7,1.8
2016-02-26,5.4,9.9,0.7,0.0,8.2,,,,3.0,4.8,1027.6,54,1029.9,8.0
2016-02-27,8.3,14.6,1.4,0.0,6.7,,,,4.7,6.5,1024.6,61,1026.9,8.0
2016-02-28,10.6,15.7,5.0,,9.3,,,,3.5,8.1,1021.6,65,1023.9,2.8
2016-02-29,8.6,14.7,2.8,0.0,1.8,,,,6.2,7.1,1012.9,60,1015.1,6.5
2016-03-01,4.1,7.4,1.5,,8.8,,,,4.5,4.2,1021.5,52,1023.8,5.0
2016-03-02,6.9,11.0,3.1,,8.4,,,,3.0,5.2,1023.5,53,1025.8,2.5
2016-03-03,8.8,15.5,1.9,,11.0,,,,2.7,6.3,1024.2,57,1026.5,0.0
2016-03-04,10.9,16.8,4.7,,4.9,,,,3.4,7.1,1026.8,55,1029.0,6.8
2016-03-05,15.3,21.2,9.5,,10.0,,,,4.7,10.3,1026.0,60,1028.2,5.5
2016-03-06,17.8,20.2,16.0,0.0,1.7,,,,5.2,12.9,1020.2,63,1022.4,8.5
2016-03-07,17.2,21.6,14.4,0.0,5.6,,,,3.2,14.3,1013.6,74,1015.8,6.3
2016-03-08,16.0,21.5,11.3,,9.5,,,,2.9,12.5,1014.1,70,1016.3,2.5
2016-03-09,9.9,14.2,6.9,36.5,0.0,,,,5.5,9.6,1012.0,79,1014.2,10.0
2016-03-10,7.8,9.6,6.0,,1.3,,,,5.4,5.9,1016.0,56,1018.3,9.0
2016-03-11,7.7,11.8,5.0,,9.2,,,,5.1,5.6,1016.9,54,1019.2,3.0
2016-03-12,7.1,11.8,2.0,,11.4,,,,3.2,5.1,1020.7,52,1023.0,0.0
2016-03-13,8.4,13.6,4.0,10.0,2.0,,,,2.5,6.8,1020.3,62,1022.5,9.5
2016-03-14,6.8,8.2,4.6,12.5,0.2,,,,5.2,7.9,1012.7,80,1015.0,10.0
2016-03-15,8.7,12.4,5.8,,10.7,,,,5.3,5.4,1018.2,49,1020.5,3.3
2016-03-16,9.2,14.6,3.3,,5.7,,,,3.1,7.0,1020.9,61,1023.2,7.5
2016-03-17,12.6,19.8,6.0,,11.1,,,,3.2,8.1,1020.4,58,1022.7,4.0
2016-03-18,15.1,20.9,9.6,10.0,3.0,,,,5.3,11.5,1015.1,67,1017.3,10.0
2016-03-19,15.1,18.7,11.4,3.5,0.2,,,,3.9,13.8,1006.8,80,1009.0,9.3
2016-03-20,11.3,15.0,9.0,,8.5,,,,5.6,6.9,1014.3,52,1016.5,2.8
2016-03-21,10.0,13.8,7.2,,10.4,,,,5.9,5.4,1018.0,45,1020.2,3.0
2016-03-22,10.7,17.2,3.4,,11.5,,,,2.6,6.1,1016.1,49,1018.4,0.8
2016-03-23,12.6,19.1,6.9,,6.9,,,,3.5,7.7,1012.8,54,1015.0,7.5
2016-03-24,9.6,12.6,6.8,0.0,8.2,,,,6.8,5.3,1016.0,44,1018.3,6.5
2016-03-25,7.9,11.5,5.2,,10.4,,,,5.4,4.8,1019.8,45,1022.0,2.5
2016-03-26,8.0,12.7,2.1,,11.6,,,,3.3,5.1,1018.7,49,1021.0,3.0
2016-03-27,9.7,16.0,4.5,0.0,6.3,,,,3.0,6.6,1016.5,55,1018.7,8.3
