calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,,,,10.0,,,8,3,,,,,,
2016-01-02,,,,18.0,,,4,0,,,,,,
2016-01-03,,,,16.0,,,0,0,,,,,,
2016-01-04,,,,11.5,,,0,0,,,,,,
2016-01-05,,,,31.0,,,4,4,,,,,,
2016-01-06,,,,6.5,,,4,0,,,,,,
2016-01-07,,,,6.5,,,0,0,,,,,,
2016-01-08,,,,16.0,,,2,2,,,,,,
2016-01-09,,,,1.0,,,0,0,,,,,,
2016-01-10,,,,28.5,,,2,3,,,,,,
2016-01-11,,,,3.5,,,5,4,,,,,,
2016-01-12,,,,9.0,,,15,11,,,,,,
2016-01-13,,,,11.0,,,19,6,,,,,,
2016-01-14,,,,17.0,,,22,17,,,,,,
2016-01-15,,,,4.0,,,29,11,,,,,,
2016-01-16,,,,5.0,,,31,8,,,,,,
2016-01-17,,,,7.5,,,39,8,,,,,,
2016-01-18,,,,7.5,,,29,1,,,,,,
2016-01-19,,,,41.0,,,31,17,,,,,,
2016-01-20,,,,15.5,,,40,11,,,,,,
2016-01-21,,,,12.0,,,48,16,,,,,,
2016-01-22,,,,8.0,,,53,8,,,,,,
2016-01-23,,,,3.0,,,54,3,,,,,,
2016-01-24,,,,16.5,,,72,25,,,,,,
2016-01-25,,,,10.0,,,74,7,,,,,,
2016-01-26,,,,4.0,,,73,2,,,,,,
2016-01-27,,,,36.5,,,58,0,,,,,,
2016-01-28,,,,9.5,,,48,2,,,,,,
2016-01-29,,,,0.0,,,44,0,,,,,,
2016-01-30,,,,9.0,,,54,16,,,,,,
2016-01-31,,,,14.0,,,82,31,,,,,,
2016-02-01,,,,4.0,,,88,7,,,,,,
2016-02-02,,,,4.0,,,71,3,,,,,,
2016-02-03,,,,9.0,,,75,13,,,,,,
2016-02-04,,,,5.0,,,67,0,,,,,,
2016-02-05,,,,10.0,,,56,4,,,,,,
2016-02-06,,,,12.5,,,71,17,,,,,,
2016-02-07,,,,2.0,,,72,6,,,,,,
2016-02-08,,,,0.0,,,65,0,,,,,,
2016-02-09,,,,11.0,,,58,5,,,,,,
2016-02-10,,,,4.0,,,62,5,,,,,,
2016-02-11,,,,0.0,,,59,0,,,,,,
2016-02-12,,,,0.0,,,55,0,,,,,,
2016-02-13,,,,0.5,,,51,0,,,,,,
2016-02-14,,,,9.0,,,44,0,,,,,,
2016-02-15,,,,12.5,,,28,6,,,,,,
2016-02-16,,,,11.5,,,41,16,,,,,,
2016-02-17,,,,8.0,,,48,7,,,,,,
2016-02-18,,,,0.5,,,44,0,,,,,,
2016-02-19,,,,8.5,,,31,0,,,,,,
2016-02-20,,,,11.0,,,22,0,,,,,,
2016-02-21,,,,10.0,,,19,0,,,,,,
2016-02-22,,,,0.0,,,12,2,,,,,,
2016-02-23,,,,12.0,,,11,3,,,,,,
2016-02-24,,,,2.5,,,13,5,,,,,,
2016-02-25,,,,9.0,,,26,17,,,,,,
2016-02-26,,,,13.5,,,39,16,,,,,,
2016-02-27,,,,8.5,,,40,1,,,,,,
2016-02-28,,,,0.5,,,20,0,,,,,,
2016-02-29,,,,17.5,,,16,1,,,,,,
2016-03-01,,,,3.5,,,17,5,,,,,,
2016-03-02,,,,6.5,,,26,11,,,,,,
2016-03-03,,,,12.5,,,17,0,,,,,,
2016-03-04,,,,0.0,,,11,0,,,,,,
2016-03-05,,,,0.0,,,8,0,,,,,,
2016-03-06,,,,0.0,,,3,0,,,,,,
2016-03-07,,,,6.5,,,0,0,,,,,,
2016-03-08,,,,3.5,,,0,0,,,,,,
