calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.4,4.6,-5.0,0.5,,,,,1.9,,,,,
2016-01-02,3.3,7.7,-2.0,3.0,,,,,1.3,,,,,
2016-01-03,5.8,10.4,3.1,3.0,,,,,2.3,,,,,
2016-01-04,5.5,11.9,2.2,0.0,,,,,3.0,,,,,
2016-01-05,1.7,3.5,-0.5,0.5,,,,,3.0,,,,,
2016-01-06,1.6,5.0,-1.5,0.0,,,,,2.4,,,,,
2016-01-07,1.0,3.2,-2.9,0.0,,,,,2.9,,,,,
2016-01-08,1.1,4.3,-3.6,0.0,,,,,1.8,,,,,
2016-01-09,0.8,3.0,-2.7,0.0,,,,,2.1,,,,,
2016-01-10,1.0,4.4,-0.9,2.5,,,,,2.2,,,,,
2016-01-11,-0.8,1.7,-3.1,0.0,,,,,2.3,,,,,
2016-01-12,-1.4,0.9,-4.4,0.0,,,,,1.7,,,,,
2016-01-13,0.0,4.4,-5.4,0.0,,,,,1.5,,,,,
2016-01-14,-0.2,2.3,-3.3,0.5,,,,,4.3,,,,,
2016-01-15,-2.0,1.7,-5.1,0.0,,,,,1.7,,,,,
2016-01-16,-1.9,0.9,-3.9,0.0,,,,,2.7,,,,,
2016-01-17,-0.8,2.8,-6.0,0.0,,,,,1.3,,,,,
2016-01-18,0.1,3.8,-1.6,17.0,,,,,3.0,,,,,
2016-01-19,-0.1,2.4,-1.9,18.0,,,,,3.9,,,,,
2016-01-20,-1.4,1.7,-8.8,4.5,,,,,1.7,,,,,
2016-01-21,-0.4,2.5,-5.3,0.5,,,,,2.2,,,,,
2016-01-22,-2.0,2.4,-7.6,2.5,,,,,1.9,,,,,
2016-01-23,-2.4,0.8,-9.7,0.0,,,,,1.9,,,,,
2016-01-24,-2.2,0.0,-4.7,0.5,,,,,2.8,,,,,
2016-01-25,-3.0,-1.4,-6.7,4.0,,,,,2.2,,,,,
2016-01-26,-0.1,3.9,-4.3,0.0,,,,,0.9,,,,,
2016-01-27,1.7,3.1,0.0,2.5,,,,,1.0,,,,,
2016-01-28,1.4,4.5,-1.6,0.0,,,,,2.6,,,,,
2016-01-29,-0.4,1.1,-2.2,1.5,,,,,2.7,,,,,
2016-01-30,-1.4,0.8,-2.6,3.5,,,,,1.5,,,,,
2016-01-31,-0.4,3.3,-3.1,0.0,,,,,1.8,,,,,
2016-02-01,-1.1,1.1,-3.1,0.0,,,,,1.9,,,,,
