calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-0.3,3.0,-4.9,2.0,2.9,,43,6,1.1,,,,,
2016-01-02,2.2,5.0,-1.2,9.5,0.0,,34,0,1.1,,,,,
2016-01-03,2.9,5.0,1.8,5.5,0.0,,20,0,1.1,,,,,
2016-01-04,2.3,6.2,1.0,7.0,0.2,,13,1,0.9,,,,,
2016-01-05,0.2,1.3,-1.8,9.0,0.0,,28,19,0.5,,,,,
2016-01-06,-0.1,1.3,-2.0,2.5,0.0,,27,1,,,,,,
2016-01-07,0.5,2.1,-1.4,2.0,2.2,,20,2,1.1,,,,,
2016-01-08,-0.1,1.1,-2.3,6.5,0.0,,23,10,,,,,,
2016-01-09,-0.1,1.9,-1.1,1.5,1.8,,27,7,,,,,,
2016-01-10,0.4,3.3,-1.4,13.5,0.0,,40,22,,,,,,
2016-01-11,-1.8,-1.0,-2.9,2.5,0.4,,41,4,,,,,,
2016-01-12,-2.6,-0.5,-6.4,5.5,0.4,,46,10,0.9,,,,,
2016-01-13,-1.2,0.7,-5.2,7.0,0.2,,49,8,0.9,,,,,
2016-01-14,-1.6,0.3,-6.5,8.0,0.3,,53,8,,,,,,
2016-01-15,-4.5,-1.3,-8.2,0.5,3.8,,45,3,,,,,,
2016-01-16,-3.3,-0.2,-6.2,0.5,1.6,,45,5,,,,,,
2016-01-17,-1.7,1.2,-3.4,4.5,2.1,,52,9,0.8,,,,,
2016-01-18,0.1,4.1,-2.6,10.0,0.0,,48,9,,,,,,
2016-01-19,-0.5,0.6,-1.8,69.0,0.0,,105,60,,,,,,
2016-01-20,-0.8,1.2,-2.3,14.5,0.0,,108,10,,,,,,
2016-01-21,-1.4,0.1,-3.2,6.0,0.4,,103,9,0.8,,,,,
2016-01-22,-2.1,-0.5,-3.8,12.5,0.1,,114,17,,,,,,
2016-01-23,-2.5,-0.6,-4.0,2.5,0.0,,112,0,,,,,,
2016-01-24,-2.9,-0.7,-4.4,7.5,5.1,,105,10,,,,,,
2016-01-25,-2.6,-0.5,-6.1,8.5,2.4,,113,14,0.9,,,,,
2016-01-26,-0.2,1.5,-2.2,1.0,0.0,,112,0,0.7,,,,,
2016-01-27,0.9,1.8,0.2,14.0,0.0,,100,4,0.6,,,,,
2016-01-28,0.7,2.4,-0.5,3.0,0.0,,95,1,0.9,,,,,
2016-01-29,-0.9,0.3,-2.2,0.0,0.0,,88,0,1.3,,,,,
2016-01-30,-1.6,1.0,-3.0,4.0,0.4,,94,10,0.5,,,,,
2016-01-31,-1.2,1.1,-2.6,3.5,0.2,,96,10,1.0,,,,,
2016-02-01,-2.4,-0.7,-4.3,2.0,0.3,,100,7,0.5,,,,,
2016-02-02,-2.3,-0.6,-4.7,11.0,1.2,,113,21,0.6,,,,,
2016-02-03,-1.5,1.2,-4.4,0.5,4.0,,111,1,,,,,,
2016-02-04,-0.4,2.9,-3.7,4.0,1.8,,101,5,0.5,,,,,
2016-02-05,0.4,2.6,-1.0,2.5,1.0,,103,9,0.5,,,,,
2016-02-06,-1.9,0.7,-4.3,1.0,0.8,,93,1,0.5,,,,,
2016-02-07,-3.0,0.1,-6.1,1.0,3.9,,92,3,1.0,,,,,
2016-02-08,-2.2,3.4,-5.8,0.5,8.3,,92,3,0.7,,,,,
2016-02-09,-1.3,0.5,-5.5,10.0,0.3,,101,17,0.5,,,,,
2016-02-10,-1.8,0.1,-3.8,9.5,0.5,,113,14,,,,,,
2016-02-11,-1.8,3.3,-5.9,0.0,4.1,,109,0,1.0,,,,,
2016-02-12,-2.6,4.0,-9.6,0.0,9.5,,100,0,0.8,,,,,
2016-02-13,0.9,2.7,-1.3,2.5,0.0,,95,0,0.5,,,,,
2016-02-14,3.4,9.9,0.5,13.0,0.0,,89,0,1.3,,,,,
2016-02-15,-1.6,3.7,-5.6,6.0,0.0,,93,15,1.2,,,,,
2016-02-16,-2.1,0.2,-4.9,7.5,1.9,,101,14,0.9,,,,,
2016-02-17,-1.6,-0.5,-3.8,10.0,0.0,,115,15,0.8,,,,,
2016-02-18,-0.5,5.2,-4.0,1.5,2.7,,109,2,0.8,,,,,
2016-02-19,1.0,6.8,-4.7,8.0,0.0,,98,3,1.1,,,,,
2016-02-20,2.4,5.1,0.9,13.5,0.0,,90,0,0.7,,,,,
2016-02-21,2.4,6.8,-0.4,8.0,,,83,3,1.8,,,,,
2016-02-22,-0.1,3.1,-3.0,0.0,,,81,1,1.7,,,,,
2016-02-23,-0.5,3.2,-4.7,7.5,,,83,7,0.5,,,,,
2016-02-24,-2.1,1.2,-4.9,0.0,,,83,0,1.4,,,,,
2016-02-25,-3.0,0.7,-5.6,2.5,3.5,,85,7,1.1,,,,,
2016-02-26,-1.7,0.5,-3.9,5.0,1.3,,89,12,0.8,,,,,
2016-02-27,0.7,3.5,-2.0,6.0,5.4,,92,10,1.1,,,,,
2016-02-28,1.2,5.2,-4.5,0.0,8.8,,88,0,1.3,,,,,
2016-02-29,2.4,6.2,-0.4,8.5,0.0,,80,2,1.5,,,,,
2016-03-01,-2.2,0.2,-3.2,14.0,0.8,,108,33,2.1,,,,,
2016-03-02,-1.4,1.4,-6.0,5.5,0.4,,111,6,1.0,,,,,
2016-03-03,1.1,6.1,-2.0,18.0,,,109,11,,,,,,
2016-03-04,0.9,6.1,-3.2,0.0,,,96,0,1.0,,,,,
2016-03-05,2.4,9.8,-4.2,0.0,10.1,,89,0,1.0,,,,,
2016-03-06,4.6,11.8,-0.4,0.0,7.0,,83,0,1.1,,,,,
2016-03-07,3.8,8.3,1.9,3.0,0.2,,78,0,0.8,,,,,
2016-03-08,3.8,7.4,1.9,0.5,0.0,,74,0,1.0,,,,,
2016-03-09,1.9,3.7,-0.2,0.0,0.0,,70,0,1.0,,,,,
2016-03-10,0.3,3.5,-1.7,0.0,4.9,,69,2,1.4,,,,,
2016-03-11,-0.5,3.6,-5.3,0.0,5.8,,70,1,1.2,,,,,
2016-03-12,-0.5,3.8,-4.2,0.0,6.9,,68,3,0.9,,,,,
2016-03-13,-0.1,6.4,-6.8,0.0,5.2,,62,0,0.9,,,,,
2016-03-14,2.8,7.1,-0.2,0.0,2.1,,60,0,0.7,,,,,
2016-03-15,2.5,4.2,-0.9,0.5,0.9,,58,0,1.5,,,,,
2016-03-16,4.3,11.0,0.3,0.5,6.5,,56,0,1.2,,,,,
2016-03-17,5.8,13.6,0.0,0.0,7.4,,50,0,1.4,,,,,
2016-03-18,4.9,13.4,-1.7,0.0,6.3,,44,0,1.0,,,,,
2016-03-19,4.4,6.9,2.5,11.0,0.0,,39,0,0.5,,,,,
2016-03-20,3.7,6.9,1.0,0.0,0.7,,35,0,1.5,,,,,
2016-03-21,2.3,5.5,0.2,0.0,3.0,,32,0,1.8,,,,,
2016-03-22,3.1,8.2,0.7,13.5,1.5,,28,0,1.4,,,,,
2016-03-23,2.9,6.5,-0.8,0.0,,,26,1,1.8,,,,,
2016-03-24,1.6,6.1,-1.7,0.0,5.2,,23,1,1.5,,,,,
2016-03-25,0.6,5.8,-3.4,2.5,4.5,,24,6,1.2,,,,,
2016-03-26,2.0,7.5,-1.8,5.5,7.0,,30,9,1.5,,,,,
2016-03-27,2.8,11.1,-3.9,0.0,8.9,,18,0,1.0,,,,,
2016-03-28,4.1,12.6,-2.5,0.0,11.2,,13,0,1.3,,,,,
