calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-0.2,2.2,-5.0,1.0,0.8,,41,6,2.6,,,,,
2016-01-02,2.1,6.0,-1.1,13.5,0.8,,36,1,1.5,,,,,
2016-01-03,3.8,7.7,2.1,8.5,2.7,,20,4,1.5,,,,,
2016-01-04,2.9,7.7,1.0,2.5,0.3,,13,1,2.1,,,,,
2016-01-05,0.5,1.4,-0.6,2.0,0.0,,15,12,2.3,,,,,
2016-01-06,1.1,2.8,-1.0,0.5,0.8,,14,1,2.1,,,,,
2016-01-07,0.7,2.5,-1.0,0.5,0.3,,9,6,3.2,,,,,
2016-01-08,0.4,2.3,-0.7,2.0,0.2,,11,6,1.4,,,,,
2016-01-09,-0.2,1.4,-1.4,1.5,1.4,,16,8,2.0,,,,,
2016-01-10,0.0,2.7,-1.6,11.0,0.0,,28,24,,,,,,
2016-01-11,-2.0,-0.9,-2.8,1.0,0.3,,29,6,4.2,,,,,
2016-01-12,-1.9,0.0,-2.9,1.0,1.1,,28,7,2.9,,,,,
2016-01-13,-1.3,0.5,-3.5,4.0,0.6,,32,12,1.1,,,,,
2016-01-14,-2.0,0.7,-8.1,4.5,2.3,,36,6,,,,,,
2016-01-15,-4.9,0.1,-10.2,0.0,5.4,,31,1,1.1,,,,,
2016-01-16,-3.1,-0.4,-8.0,1.0,2.1,,34,6,1.6,,,,,
2016-01-17,-1.7,0.1,-3.2,4.5,1.6,,40,11,0.9,,,,,
2016-01-18,0.0,1.8,-2.9,24.5,0.0,,48,19,,,,,,
2016-01-19,-0.5,2.1,-3.3,42.0,0.1,,85,45,,,,,,
2016-01-20,-1.1,1.7,-4.4,9.5,3.3,,91,13,,,,,,
2016-01-21,-1.3,-0.3,-2.3,4.5,0.0,,86,8,3.1,,,,,
2016-01-22,-2.1,0.0,-3.7,6.5,0.5,,89,13,2.8,,,,,
2016-01-23,-2.3,-0.7,-3.7,0.5,0.5,,89,1,2.5,,,,,
2016-01-24,-2.9,0.2,-4.4,4.0,5.1,,84,10,1.1,,,,,
2016-01-25,-2.2,-0.3,-3.7,1.5,1.1,,82,6,3.7,,,,,
2016-01-26,0.3,1.8,-1.1,1.5,0.0,,80,3,1.2,,,,,
2016-01-27,1.0,1.9,-0.3,13.5,0.0,,75,6,1.6,,,,,
2016-01-28,1.5,2.8,0.1,0.5,0.1,,69,4,2.4,,,,,
2016-01-29,-0.6,0.8,-2.4,0.0,0.0,,65,2,0.9,,,,,
2016-01-30,-1.5,0.9,-3.1,6.0,0.6,,76,16,,,,,,
2016-01-31,-1.0,1.0,-2.5,1.0,1.2,,71,9,3.2,,,,,
2016-02-01,-2.1,-0.7,-2.8,1.0,0.3,,72,10,2.5,,,,,
2016-02-02,-1.9,-0.5,-3.7,5.5,0.3,,80,12,2.9,,,,,
2016-02-03,-1.1,1.4,-3.6,0.0,4.9,,81,1,2.4,,,,,
2016-02-04,-0.3,2.9,-3.1,6.0,1.6,,78,11,1.0,,,,,
2016-02-05,0.2,2.4,-1.2,1.5,1.3,,80,5,,,,,,
2016-02-06,-1.4,1.8,-4.5,0.0,4.1,,69,1,1.9,,,,,
2016-02-07,-2.6,-0.5,-3.8,0.0,2.7,,66,5,3.1,,,,,
2016-02-08,-1.7,4.1,-4.9,0.0,8.1,,67,1,0.9,,,,,
2016-02-09,-1.1,2.1,-5.3,8.0,0.7,,75,13,0.7,,,,,
2016-02-10,-1.6,-0.2,-2.7,13.0,1.2,,75,2,6.9,,,,,
2016-02-11,-1.0,2.2,-7.1,0.0,4.1,,71,0,2.9,,,,,
2016-02-12,-2.6,6.2,-10.8,0.0,9.0,,65,0,0.7,,,,,
2016-02-13,1.3,6.0,-1.9,0.0,0.5,,64,1,0.5,,,,,
2016-02-14,3.7,10.9,0.7,7.0,0.0,,62,2,2.5,,,,,
2016-02-15,-1.5,3.2,-4.7,2.0,0.1,,51,7,5.2,,,,,
2016-02-16,-2.3,-0.1,-4.7,6.0,2.9,,60,18,1.6,,,,,
2016-02-17,-1.7,-0.7,-3.5,8.0,0.0,,71,13,2.3,,,,,
2016-02-18,-0.5,5.6,-5.7,1.0,4.8,,72,5,0.9,,,,,
2016-02-19,-0.1,6.3,-8.3,5.5,0.7,,59,4,1.6,,,,,
2016-02-20,2.4,7.5,-0.2,15.5,0.0,,53,1,0.8,,,,,
2016-02-21,2.7,6.7,-0.7,3.5,0.8,,48,5,6.0,,,,,
2016-02-22,-0.5,2.3,-3.6,0.0,3.6,,40,1,3.0,,,,,
2016-02-23,-0.2,4.4,-5.3,4.5,2.3,,39,2,1.1,,,,,
2016-02-24,-1.9,0.8,-3.9,0.5,1.3,,43,4,,,,,,
2016-02-25,-3.0,-0.4,-6.1,2.0,3.5,,42,4,2.1,,,,,
2016-02-26,-1.8,0.6,-4.5,9.5,2.2,,57,26,1.2,,,,,
2016-02-27,0.4,3.1,-1.3,11.0,5.7,,60,19,1.9,,,,,
2016-02-28,1.3,5.5,-4.0,0.5,8.5,,60,0,2.2,,,,,
2016-02-29,2.2,4.4,-1.4,2.5,0.0,,46,3,3.4,,,,,
2016-03-01,-2.4,-0.6,-3.8,3.5,0.4,,69,29,5.8,,,,,
2016-03-02,-1.1,1.9,-3.4,2.5,2.2,,76,10,3.0,,,,,
2016-03-03,1.3,5.4,-2.9,18.5,1.6,,73,14,3.4,,,,,
2016-03-04,0.4,5.6,-3.8,0.0,5.8,,57,0,1.3,,,,,
2016-03-05,1.8,8.7,-5.8,0.0,9.4,,52,0,2.2,,,,,
2016-03-06,4.4,10.2,1.5,0.0,2.3,,46,0,1.4,,,,,
2016-03-07,3.5,7.0,1.6,3.0,0.0,,41,0,0.7,,,,,
2016-03-08,4.9,10.3,1.5,0.0,2.5,,37,0,2.5,,,,,
2016-03-09,1.7,3.2,0.1,0.5,0.8,,26,0,3.1,,,,,
2016-03-10,0.4,3.0,-1.7,0.0,4.9,,25,0,1.6,,,,,
2016-03-11,-0.1,3.9,-3.8,0.0,7.2,,22,2,2.1,,,,,
2016-03-12,-1.0,4.0,-4.8,0.0,8.5,,19,0,1.8,,,,,
2016-03-13,0.3,6.8,-7.5,0.0,5.3,,16,0,0.8,,,,,
2016-03-14,2.8,8.0,-0.4,0.0,2.7,,13,0,0.9,,,,,
2016-03-15,2.3,4.1,-0.6,0.0,1.7,,10,0,3.4,,,,,
2016-03-16,4.7,11.2,0.5,0.0,6.9,,7,0,1.8,,,,,
2016-03-17,7.1,13.5,-0.7,0.0,9.7,,2,0,2.6,,,,,
2016-03-18,6.2,18.5,-1.6,0.0,7.9,,0,0,0.9,,,,,
2016-03-19,6.1,9.9,3.2,6.5,0.0,,0,0,1.7,,,,,
2016-03-20,5.0,7.2,2.3,0.0,0.6,,0,0,4.1,,,,,
2016-03-21,3.1,5.7,-0.4,0.0,4.2,,0,0,3.1,,,,,
2016-03-22,5.4,9.4,1.8,6.0,2.4,,0,0,3.0,,,,,
