calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-0.3,1.8,-3.6,1.5,1.1,,,,0.7,,,,,
2016-01-02,3.0,7.5,-0.8,3.5,1.0,,,,1.0,,,,,
2016-01-03,5.3,9.9,2.5,3.0,3.4,,,,1.2,,,,,
2016-01-04,5.1,10.4,1.8,0.5,2.6,,,,1.8,,,,,
2016-01-05,1.5,3.2,-0.2,1.0,0.3,,,,1.4,,,,,
2016-01-06,1.2,4.0,-1.5,0.0,1.1,,,,1.1,,,,,
2016-01-07,1.0,3.0,-1.4,0.5,0.6,,,,1.2,,,,,
2016-01-08,0.9,4.4,-2.2,0.5,0.4,,,,0.8,,,,,
2016-01-09,0.7,3.3,-1.0,0.5,0.8,,,,0.8,,,,,
2016-01-10,0.8,3.3,-0.5,7.0,1.2,,,,,,,,,
2016-01-11,-1.0,0.5,-3.2,2.0,1.6,,,,1.1,,,,,
2016-01-12,-1.7,-0.3,-3.4,2.0,0.4,,,,0.5,,,,,
2016-01-13,-0.1,3.4,-4.3,0.0,5.0,,,,0.8,,,,,
2016-01-14,-0.5,1.6,-3.7,1.5,2.9,,,,1.7,,,,,
2016-01-15,-2.4,0.8,-4.7,0.0,3.1,,,,0.7,,,,,
2016-01-16,-2.0,0.4,-4.4,1.0,1.6,,,,0.9,,,,,
2016-01-17,-0.8,2.1,-3.3,2.0,2.1,,,,,,,,,
2016-01-18,0.2,2.6,-1.5,24.5,0.0,,,,1.8,,,,,
2016-01-19,0.1,1.6,-1.7,31.5,0.0,,,,,,,,,
2016-01-20,-1.2,2.5,-7.6,6.5,0.5,,,,1.7,,,,,
2016-01-21,-0.6,2.6,-3.6,2.5,3.7,,,,0.7,,,,,
2016-01-22,-2.1,1.5,-6.4,5.0,2.8,,,,0.6,,,,,
2016-01-23,-2.4,1.5,-7.6,0.0,1.0,,,,,,,,,
2016-01-24,-1.8,0.6,-3.4,2.5,3.9,,,,1.5,,,,,
2016-01-25,-3.1,-1.3,-6.5,10.0,0.0,,,,0.7,,,,,
2016-01-26,-0.6,4.7,-4.8,0.0,1.6,,,,,,,,,
2016-01-27,1.7,3.3,0.4,6.0,0.0,,,,0.7,,,,,
2016-01-28,1.6,4.5,-1.3,0.0,1.5,,,,1.1,,,,,
2016-01-29,-0.1,1.2,-1.9,1.0,0.0,,,,1.2,,,,,
2016-01-30,-1.4,0.6,-3.4,5.5,0.4,,,,0.7,,,,,
2016-01-31,-0.4,2.9,-2.2,0.5,2.4,,,,0.8,,,,,
2016-02-01,-1.3,0.4,-3.3,0.5,2.9,,,,0.9,,,,,
2016-02-02,-1.0,2.4,-4.5,0.5,4.0,,,,1.0,,,,,
2016-02-03,-1.0,1.8,-3.7,0.0,4.2,,,,1.1,,,,,
2016-02-04,-0.3,5.5,-5.1,6.5,3.8,,,,0.7,,,,,
2016-02-05,0.7,2.9,-2.2,0.5,3.5,,,,0.8,,,,,
2016-02-06,0.0,2.7,-2.2,0.0,1.7,,,,1.2,,,,,
2016-02-07,-2.5,0.9,-6.7,0.0,5.8,,,,1.2,,,,,
2016-02-08,-2.7,5.7,-9.1,0.0,9.8,,,,0.9,,,,,
2016-02-09,-0.6,3.6,-5.8,8.0,1.1,,,,1.0,,,,,
2016-02-10,-0.9,0.5,-2.1,11.5,0.4,,,,,,,,,
