calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.8,3.4,-2.0,1.5,2.0,,,,1.6,,,,,
2016-01-02,3.3,6.9,-1.0,9.0,0.1,,,,1.3,,,,,
2016-01-03,5.8,7.6,3.4,6.0,0.0,,,,0.8,,,,,
2016-01-04,6.1,12.3,2.8,1.0,2.2,,,,2.0,,,,,
2016-01-05,2.2,3.3,0.7,1.0,0.1,,,,1.9,,,,,
2016-01-06,2.8,5.4,0.5,0.0,1.5,,,,1.9,,,,,
2016-01-07,1.2,3.4,-0.5,0.0,0.0,,,,2.8,,,,,
2016-01-08,1.2,3.8,-0.3,0.0,1.3,,,,0.8,,,,,
2016-01-09,0.6,2.8,-1.5,0.0,2.4,,,,1.9,,,,,
2016-01-10,1.3,3.9,-1.1,3.5,0.1,,,,2.1,,,,,
2016-01-11,-1.0,0.2,-2.3,0.0,1.5,,,,2.7,,,,,
2016-01-12,-0.9,1.6,-2.3,0.0,5.4,,,,2.8,,,,,
2016-01-13,0.6,4.9,-3.1,5.0,5.2,,,,0.6,,,,,
2016-01-14,0.1,2.1,-2.9,1.5,2.6,,,,1.4,,,,,
2016-01-15,-1.9,1.8,-5.1,0.5,4.0,,,,0.7,,,,,
2016-01-16,-2.0,1.3,-5.1,1.0,1.0,,,,0.9,,,,,
2016-01-17,-1.0,3.4,-5.4,0.0,3.3,,,,1.0,,,,,
2016-01-18,0.5,3.0,-0.7,26.5,0.0,,,,,,,,,
2016-01-19,-0.5,1.4,-2.6,13.5,0.2,,,,,,,,,
2016-01-20,-1.7,2.1,-6.4,3.5,2.0,,,,1.5,,,,,
2016-01-21,-0.6,0.8,-3.2,1.5,0.3,,,,2.4,,,,,
2016-01-22,-1.6,0.2,-5.1,1.0,2.8,,,,2.0,,,,,
2016-01-23,-1.2,1.0,-4.1,0.0,1.1,,,,1.4,,,,,
2016-01-24,-2.8,-0.5,-5.5,6.0,1.0,,,,1.2,,,,,
2016-01-25,-2.4,-0.9,-4.3,8.5,1.0,,,,2.3,,,,,
2016-01-26,0.0,4.4,-4.1,0.0,2.4,,,,0.9,,,,,
2016-01-27,1.6,4.2,-2.5,5.0,0.1,,,,1.4,,,,,
2016-01-28,2.5,5.1,0.9,0.0,2.7,,,,1.3,,,,,
2016-01-29,-0.5,1.2,-2.6,7.0,0.0,,,,,,,,,
2016-01-30,-1.3,1.3,-2.8,5.0,0.5,,,,,,,,,
2016-01-31,0.3,2.6,-1.4,0.0,3.9,,,,1.6,,,,,
2016-02-01,-0.8,1.2,-2.0,0.0,4.9,,,,2.5,,,,,
2016-02-02,-1.3,0.9,-2.3,0.0,1.8,,,,2.9,,,,,
2016-02-03,-0.6,2.9,-2.9,0.0,6.4,,,,1.6,,,,,
2016-02-04,0.4,5.0,-3.9,2.5,6.1,,,,0.6,,,,,
2016-02-05,1.3,3.6,-0.9,2.0,7.0,,,,1.5,,,,,
2016-02-06,-0.2,2.4,-2.7,1.0,0.4,,,,0.6,,,,,
2016-02-07,-3.3,0.7,-7.1,0.0,7.9,,,,1.9,,,,,
2016-02-08,-4.4,3.9,-10.4,0.0,9.6,,,,0.7,,,,,
2016-02-09,-1.9,2.3,-7.0,5.0,2.4,,,,1.3,,,,,
2016-02-10,-1.4,0.9,-2.2,4.0,0.9,,,,3.0,,,,,
2016-02-11,-0.1,4.0,-6.1,0.0,8.4,,,,2.2,,,,,
2016-02-12,-2.2,5.9,-10.0,0.0,8.6,,,,0.6,,,,,
2016-02-13,3.3,8.6,-0.2,0.0,2.4,,,,0.6,,,,,
2016-02-14,5.0,13.1,1.4,0.5,0.3,,,,1.7,,,,,
2016-02-15,-0.2,4.1,-4.1,0.0,3.9,,,,3.2,,,,,
2016-02-16,-1.3,1.9,-5.5,4.0,2.8,,,,1.3,,,,,
2016-02-17,-0.8,1.3,-3.4,5.0,0.3,,,,1.4,,,,,
2016-02-18,-0.3,7.4,-5.6,0.0,9.1,,,,0.9,,,,,
2016-02-19,1.3,8.2,-7.8,0.0,5.0,,,,1.2,,,,,
2016-02-20,3.3,7.6,0.7,7.0,0.1,,,,0.9,,,,,
2016-02-21,2.6,7.1,0.0,1.5,1.0,,,,3.2,,,,,
2016-02-22,0.6,3.9,-1.3,0.0,6.0,,,,1.8,,,,,
2016-02-23,2.6,9.1,-2.2,1.5,6.9,,,,1.1,,,,,
2016-02-24,-0.9,2.1,-2.9,1.0,5.4,,,,,,,,,
2016-02-25,-2.0,1.2,-4.0,0.0,6.9,,,,2.0,,,,,
2016-02-26,-0.2,2.1,-2.3,4.5,4.8,,,,1.6,,,,,
2016-02-27,1.9,6.3,-1.0,7.0,7.6,,,,1.6,,,,,
2016-02-28,3.4,7.8,-1.3,1.0,7.2,,,,1.8,,,,,
2016-02-29,3.3,9.1,-2.1,0.0,1.8,,,,2.9,,,,,
2016-03-01,-1.9,0.8,-3.0,4.5,1.3,,,,3.9,,,,,
2016-03-02,-0.5,3.0,-2.9,3.5,2.1,,,,1.6,,,,,
2016-03-03,2.4,5.8,-1.3,3.5,0.0,,,,,,,,,
2016-03-04,2.8,9.0,-2.3,0.0,9.0,,,,1.1,,,,,
2016-03-05,3.2,12.2,-4.0,0.0,10.2,,,,1.6,,,,,
2016-03-06,7.2,14.6,2.1,0.0,6.5,,,,0.8,,,,,
2016-03-07,7.5,10.4,5.3,0.5,0.0,,,,0.6,,,,,
2016-03-08,8.5,14.3,5.2,0.0,2.8,,,,1.9,,,,,
2016-03-09,2.6,5.7,1.5,0.0,0.0,,,,2.4,,,,,
2016-03-10,1.9,5.9,-0.6,0.0,6.0,,,,1.9,,,,,
2016-03-11,1.4,6.3,-2.1,0.0,7.2,,,,1.6,,,,,
2016-03-12,1.2,6.6,-3.1,0.0,8.6,,,,0.9,,,,,
2016-03-13,3.0,8.4,-2.9,0.0,4.1,,,,0.6,,,,,
2016-03-14,2.5,3.9,0.5,4.0,0.0,,,,0.3,,,,,
2016-03-15,3.0,7.3,-0.5,0.0,4.5,,,,2.7,,,,,
2016-03-16,5.6,12.7,0.5,0.0,7.1,,,,1.0,,,,,
2016-03-17,7.8,16.3,0.5,0.0,10.9,,,,1.6,,,,,
2016-03-18,9.6,20.5,-0.7,0.0,8.3,,,,0.9,,,,,
2016-03-19,9.2,13.3,6.2,1.5,0.7,,,,1.5,,,,,
2016-03-20,5.7,8.6,3.0,0.0,1.5,,,,2.8,,,,,
2016-03-21,3.9,9.0,-1.3,0.0,5.6,,,,2.8,,,,,
2016-03-22,6.7,12.8,-1.7,0.0,6.5,,,,1.8,,,,,
2016-03-23,5.7,9.3,3.2,1.5,7.0,,,,3.3,,,,,
2016-03-24,3.1,8.0,-0.2,0.0,7.1,,,,2.1,,,,,
2016-03-25,2.3,7.2,-0.6,0.0,8.8,,,,2.4,,,,,
2016-03-26,2.5,8.2,-2.4,0.0,3.5,,,,1.5,,,,,
2016-03-27,4.2,14.1,-4.1,0.0,11.4,,,,1.1,,,,,
2016-03-28,6.6,15.4,-0.6,0.0,11.1,,,,1.2,,,,,
2016-03-29,7.5,17.1,-2.6,0.0,10.9,,,,1.2,,,,,
2016-03-30,9.2,18.2,1.8,3.5,7.7,,,,1.4,,,,,
2016-03-31,7.5,15.2,0.4,0.0,10.3,,,,2.0,,,,,
2016-04-01,6.5,16.1,-1.4,0.0,10.9,,,,2.5,,,,,
2016-04-02,8.6,13.2,5.4,0.0,9.2,,,,2.1,,,,,
2016-04-03,12.9,22.7,3.6,0.0,5.9,,,,0.8,,,,,
2016-04-04,9.2,11.8,4.9,12.5,0.0,,,,0.7,,,,,
2016-04-05,7.7,17.0,0.5,0.0,10.5,,,,1.2,,,,,
2016-04-06,9.1,16.3,2.9,0.0,9.8,,,,1.9,,,,,
2016-04-07,7.5,13.1,3.3,30.0,0.0,,,,1.1,,,,,
2016-04-08,10.0,13.7,5.1,0.0,0.7,,,,2.9,,,,,
2016-04-09,11.7,20.8,3.6,0.0,11.0,,,,2.0,,,,,
2016-04-10,12.1,20.0,5.1,0.0,5.7,,,,1.8,,,,,
2016-04-11,3.3,7.3,-0.3,0.5,3.1,,,,2.8,,,,,
2016-04-12,6.1,14.1,-2.7,0.0,11.4,,,,1.0,,,,,
2016-04-13,11.6,19.6,2.0,1.0,8.7,,,,1.4,,,,,
2016-04-14,13.8,19.2,10.4,14.5,1.4,,,,1.2,,,,,
2016-04-15,8.1,13.4,5.6,0.0,6.1,,,,3.8,,,,,
2016-04-16,11.3,20.9,0.8,0.0,10.9,,,,1.0,,,,,
2016-04-17,13.8,24.5,8.1,3.0,3.0,,,,2.0,,,,,
2016-04-18,13.1,18.3,8.7,0.0,6.1,,,,2.0,,,,,
2016-04-19,10.1,16.3,4.0,0.0,8.8,,,,1.7,,,,,
