calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.9,3.3,-2.9,1.5,0.6,,6,5,1.9,,,,,
2016-01-02,2.4,7.9,-2.8,4.0,0.2,,2,2,1.4,,,,,
2016-01-03,4.9,8.5,2.4,5.5,0.7,,0,0,1.3,,,,,
2016-01-04,6.1,12.9,2.9,0.5,2.1,,0,0,2.0,,,,,
2016-01-05,2.3,3.4,1.2,1.5,0.0,,0,0,1.7,,,,,
2016-01-06,2.6,5.3,0.5,0.5,2.8,,0,0,1.7,,,,,
2016-01-07,1.1,3.6,-0.6,4.5,0.0,,0,0,2.0,,,,,
2016-01-08,1.1,3.3,-0.7,0.0,0.8,,0,0,,,,,,
2016-01-09,0.6,2.7,-1.6,0.0,0.9,,0,0,2.0,,,,,
2016-01-10,1.6,3.9,-1.4,7.0,0.1,,0,0,1.8,,,,,
2016-01-11,-0.9,0.4,-2.1,1.5,0.9,,5,5,,,,,,
2016-01-12,-0.9,1.0,-3.4,1.0,2.3,,0,0,2.3,,,,,
2016-01-13,0.2,3.9,-2.7,4.0,5.1,,5,7,1.1,,,,,
2016-01-14,0.1,1.5,-2.4,1.5,0.3,,2,4,2.4,,,,,
2016-01-15,-2.1,1.3,-5.3,0.5,4.8,,0,0,0.9,,,,,
2016-01-16,-1.8,1.8,-5.1,1.0,2.4,,0,0,1.9,,,,,
2016-01-17,-1.3,2.5,-6.2,0.0,3.1,,0,0,1.3,,,,,
2016-01-18,0.2,2.6,-1.1,33.5,0.0,,15,19,,,,,,
2016-01-19,-0.2,1.9,-2.3,9.5,0.8,,16,11,2.2,,,,,
2016-01-20,-1.6,2.8,-8.4,4.5,3.2,,20,10,2.4,,,,,
2016-01-21,-0.4,1.9,-1.6,4.0,1.4,,24,7,1.9,,,,,
2016-01-22,-2.3,1.9,-7.9,3.0,3.4,,25,12,2.2,,,,,
2016-01-23,-1.7,0.6,-5.0,0.5,0.6,,25,6,1.5,,,,,
2016-01-24,-3.0,-0.2,-7.2,8.5,0.7,,34,16,1.6,,,,,
2016-01-25,-2.8,0.1,-5.8,11.5,0.8,,53,22,2.3,,,,,
2016-01-26,-1.5,3.6,-6.3,0.0,4.1,,45,0,1.3,,,,,
2016-01-27,0.9,4.6,-5.3,3.0,0.8,,34,2,1.3,,,,,
2016-01-28,2.5,4.9,1.0,1.5,1.4,,27,0,1.5,,,,,
2016-01-29,-0.7,2.5,-3.0,11.0,0.0,,30,10,,,,,,
2016-01-30,-1.3,1.4,-3.0,7.5,0.9,,38,8,,,,,,
2016-01-31,0.5,2.1,-1.5,0.0,3.8,,33,1,2.1,,,,,
2016-02-01,-1.0,1.2,-4.8,0.0,3.7,,27,5,2.4,,,,,
2016-02-02,-1.7,1.3,-7.3,1.0,2.5,,29,9,2.3,,,,,
