calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.7,12.6,-0.2,0.0,5.6,,,,1.5,,,,,
2016-01-02,9.6,14.9,3.6,0.0,2.0,,,,1.5,,,,,
2016-01-03,11.8,16.4,8.3,0.0,2.7,,,,1.9,,,,,
2016-01-04,11.5,16.4,6.6,0.0,5.8,,,,1.8,,,,,
2016-01-05,9.1,12.2,7.1,0.5,0.0,,,,1.4,,,,,
2016-01-06,8.1,11.0,4.1,0.0,0.2,,,,1.5,,,,,
2016-01-07,8.1,12.3,4.8,0.0,6.0,,,,1.5,,,,,
2016-01-08,6.7,8.2,4.6,0.5,0.0,,,,1.7,,,,,
2016-01-09,5.3,10.8,0.2,0.0,3.2,,,,1.5,,,,,
2016-01-10,6.6,12.3,1.5,0.0,7.0,,,,1.9,,,,,
2016-01-11,7.5,12.1,2.5,0.0,4.2,,,,1.5,,,,,
2016-01-12,7.3,11.7,3.5,0.0,4.7,,,,1.6,,,,,
2016-01-13,5.2,7.6,0.5,3.0,3.0,,,,2.1,,,,,
2016-01-14,5.5,9.4,1.3,0.0,3.4,,,,1.9,,,,,
2016-01-15,4.6,10.2,0.6,0.0,4.3,,,,1.5,,,,,
2016-01-16,4.8,9.8,1.4,0.0,8.7,,,,1.5,,,,,
2016-01-17,6.6,8.5,2.7,9.5,0.0,,,,3.7,,,,,
2016-01-18,6.8,12.0,1.2,12.0,4.4,,,,4.2,,,,,
2016-01-19,1.6,4.2,0.2,0.5,4.6,,,,4.2,,,,,
2016-01-20,2.2,7.0,-1.7,0.0,7.6,,,,2.5,,,,,
2016-01-21,3.9,8.7,-2.0,0.0,3.2,,,,1.3,,,,,
2016-01-22,6.4,9.9,2.7,0.0,6.4,,,,1.6,,,,,
2016-01-23,5.0,10.5,1.2,0.0,3.1,,,,1.8,,,,,
2016-01-24,-2.1,1.4,-4.1,0.0,3.1,,,,3.2,,,,,
2016-01-25,1.9,5.8,-2.4,0.0,6.3,,,,2.4,,,,,
2016-01-26,4.4,7.2,1.3,1.5,0.0,,,,1.2,,,,,
2016-01-27,6.7,10.6,2.3,0.0,2.4,,,,1.6,,,,,
2016-01-28,7.5,8.8,3.0,6.5,0.0,,,,2.8,,,,,
2016-01-29,8.9,9.5,8.5,35.5,0.0,,,,4.1,,,,,
2016-01-30,9.1,11.5,7.4,1.5,1.6,,,,2.3,,,,,
2016-01-31,7.9,12.2,4.5,0.0,5.2,,,,2.1,,,,,
2016-02-01,6.9,10.8,4.5,0.0,1.2,,,,1.6,,,,,
2016-02-02,5.6,11.0,0.5,1.0,6.3,,,,1.4,,,,,
2016-02-03,5.6,9.1,1.9,0.0,1.0,,,,1.2,,,,,
2016-02-04,6.0,10.5,-0.4,0.0,6.3,,,,1.9,,,,,
2016-02-05,5.6,10.9,0.8,0.0,5.6,,,,1.7,,,,,
2016-02-06,4.9,9.7,0.6,0.0,5.5,,,,1.7,,,,,
2016-02-07,3.5,8.0,-1.3,0.0,8.2,,,,1.7,,,,,
2016-02-08,6.1,10.6,0.2,0.0,7.2,,,,2.4,,,,,
2016-02-09,8.0,11.7,-0.3,0.0,9.1,,,,3.0,,,,,
2016-02-10,5.5,11.5,0.2,0.0,9.6,,,,1.7,,,,,
2016-02-11,7.9,11.4,1.9,0.0,9.4,,,,3.2,,,,,
2016-02-12,9.9,11.6,7.8,0.0,0.3,,,,4.1,,,,,
2016-02-13,11.9,15.3,10.3,59.0,0.0,,,,3.7,,,,,
2016-02-14,12.2,17.1,7.3,2.5,2.6,,,,3.8,,,,,
2016-02-15,4.1,7.6,-0.6,0.0,5.7,,,,2.3,,,,,
2016-02-16,3.7,7.5,-0.2,3.0,6.1,,,,2.2,,,,,
2016-02-17,4.8,8.5,-0.9,0.0,5.3,,,,1.7,,,,,
2016-02-18,4.3,10.0,-2.4,0.0,9.6,,,,1.7,,,,,
2016-02-19,8.8,14.0,1.9,0.0,4.9,,,,1.9,,,,,
2016-02-20,7.9,10.1,6.8,32.5,0.0,,,,2.4,,,,,
2016-02-21,6.5,10.7,3.1,0.0,9.0,,,,1.5,,,,,
