calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.6,9.4,1.1,0.0,3.0,,,,0.6,,,,,
2016-01-02,5.9,13.5,1.6,0.0,0.7,,,,0.5,,,,,
2016-01-03,8.0,17.1,5.0,0.0,2.9,,,,0.4,,,,,
2016-01-04,7.5,16.5,2.8,0.0,4.5,,,,1.1,,,,,
2016-01-05,4.9,10.7,1.9,1.5,0.0,,,,0.4,,,,,
2016-01-06,5.7,10.7,1.8,0.0,0.0,,,,0.7,,,,,
2016-01-07,4.9,10.5,1.3,0.0,3.0,,,,0.8,,,,,
2016-01-08,4.4,7.4,2.9,0.0,0.3,,,,0.9,,,,,
2016-01-09,2.7,8.8,-1.4,0.0,1.7,,,,0.6,,,,,
2016-01-10,2.5,10.6,-2.3,0.0,5.9,,,,0.7,,,,,
2016-01-11,3.9,11.2,-1.3,0.0,6.2,,,,0.6,,,,,
2016-01-12,4.8,10.8,0.5,0.0,3.7,,,,0.9,,,,,
2016-01-13,2.1,6.9,-1.3,0.0,1.6,,,,0.7,,,,,
2016-01-14,2.4,7.3,-2.2,0.0,3.7,,,,1.0,,,,,
2016-01-15,3.0,9.0,-1.9,0.0,6.6,,,,0.7,,,,,
2016-01-16,1.6,11.2,-3.6,0.0,7.6,,,,0.4,,,,,
2016-01-17,1.4,4.5,-1.6,30.0,0.0,,,,0.3,,,,,
2016-01-18,4.5,9.4,-0.9,16.5,2.4,,,,1.4,,,,,
2016-01-19,-0.4,2.0,-2.2,3.5,1.2,,,,1.9,,,,,
2016-01-20,0.2,4.5,-3.3,0.0,2.0,,,,0.8,,,,,
2016-01-21,1.1,6.7,-3.2,0.0,2.7,,,,0.5,,,,,
2016-01-22,3.2,9.7,-0.8,0.5,5.8,,,,0.7,,,,,
2016-01-23,1.3,5.7,-1.1,1.0,0.6,,,,1.0,,,,,
2016-01-24,-4.5,-1.0,-5.9,9.5,0.0,,,,1.4,,,,,
2016-01-25,-1.3,2.7,-5.2,2.5,3.6,,,,,,,,,
2016-01-26,0.1,2.2,-1.8,0.0,0.0,,,,0.3,,,,,
2016-01-27,1.8,7.5,-0.8,0.0,1.5,,,,0.4,,,,,
2016-01-28,2.7,5.0,0.6,6.5,0.0,,,,0.3,,,,,
2016-01-29,4.6,6.2,3.0,44.5,0.0,,,,0.2,,,,,
2016-01-30,6.6,11.0,3.3,0.5,0.1,,,,0.7,,,,,
2016-01-31,4.7,10.7,1.5,0.0,1.6,,,,0.7,,,,,
2016-02-01,4.2,8.7,1.9,0.0,0.2,,,,0.7,,,,,
2016-02-02,3.0,9.2,-0.2,0.0,1.9,,,,0.7,,,,,
2016-02-03,3.2,8.0,0.1,0.0,1.7,,,,0.5,,,,,
2016-02-04,3.5,10.6,-0.9,0.0,6.6,,,,1.0,,,,,
2016-02-05,2.3,10.5,-1.9,0.0,5.3,,,,0.5,,,,,
2016-02-06,1.2,7.9,-2.4,0.0,3.7,,,,0.9,,,,,
2016-02-07,1.6,7.4,-2.1,0.5,3.5,,,,0.6,,,,,
2016-02-08,3.2,9.1,-0.7,1.5,3.7,,,,,,,,,
2016-02-09,4.2,9.5,-1.8,0.5,7.3,,,,1.6,,,,,
2016-02-10,2.9,13.0,-3.7,0.0,8.8,,,,0.6,,,,,
2016-02-11,4.2,15.9,-3.0,0.0,8.8,,,,0.5,,,,,
2016-02-12,6.4,12.4,1.1,2.5,0.0,,,,0.2,,,,,
2016-02-13,9.8,11.9,7.9,59.5,0.0,,,,0.3,,,,,
2016-02-14,10.9,16.7,6.5,2.0,0.0,,,,1.5,,,,,
2016-02-15,2.4,6.6,-0.6,0.0,3.8,,,,1.6,,,,,
2016-02-16,1.8,5.9,-0.8,2.5,1.8,,,,0.7,,,,,
2016-02-17,2.4,6.9,-2.6,1.0,3.0,,,,1.0,,,,,
2016-02-18,1.9,11.0,-4.2,0.0,8.1,,,,0.7,,,,,
2016-02-19,5.6,14.0,-1.5,0.0,3.4,,,,0.7,,,,,
2016-02-20,6.5,8.1,5.2,36.5,0.0,,,,0.4,,,,,
2016-02-21,3.9,8.2,-0.6,3.5,8.3,,,,1.2,,,,,
2016-02-22,3.2,8.6,-1.9,0.0,0.1,,,,0.5,,,,,
2016-02-23,4.6,10.2,0.8,1.0,1.0,,,,0.5,,,,,
2016-02-24,2.9,7.0,0.9,2.0,0.6,,,,0.4,,,,,
2016-02-25,1.9,5.9,-2.0,0.0,2.3,,,,0.7,,,,,
2016-02-26,2.7,10.5,-2.7,0.0,6.9,,,,0.9,,,,,
2016-02-27,3.8,9.2,-0.9,6.0,0.8,,,,0.4,,,,,
2016-02-28,7.4,16.0,3.7,0.0,4.2,,,,0.7,,,,,
2016-02-29,3.5,8.5,-1.9,8.0,1.7,,,,1.4,,,,,
2016-03-01,0.3,4.0,-1.7,3.5,0.8,,,,,,,,,
2016-03-02,2.9,12.0,-1.8,0.0,7.5,,,,0.7,,,,,
2016-03-03,6.3,17.5,-1.3,0.0,8.7,,,,0.8,,,,,
2016-03-04,9.3,16.3,4.0,0.0,1.2,,,,0.4,,,,,
2016-03-05,12.7,19.8,7.9,0.0,0.9,,,,0.8,,,,,
2016-03-06,14.2,17.9,11.8,28.0,0.0,,,,0.8,,,,,
2016-03-07,15.5,23.2,11.8,0.5,5.4,,,,0.7,,,,,
2016-03-08,12.2,16.9,9.2,0.0,2.3,,,,1.6,,,,,
2016-03-09,8.4,11.3,4.1,35.5,0.1,,,,1.5,,,,,
2016-03-10,6.3,10.8,3.3,0.0,0.3,,,,0.8,,,,,
