calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.8,12.0,1.9,0.0,5.9,,,,2.5,,,,,
2016-01-02,11.5,14.3,8.3,0.0,2.2,,,,2.8,,,,,
2016-01-03,10.1,15.5,5.9,0.0,1.6,,,,1.9,,,,,
2016-01-04,11.2,15.0,4.7,0.0,5.1,,,,2.7,,,,,
2016-01-05,7.3,12.0,4.5,0.0,0.0,,,,1.1,,,,,
2016-01-06,6.7,11.6,3.3,0.0,0.2,,,,1.2,,,,,
2016-01-07,7.5,9.1,4.2,0.0,1.7,,,,2.4,,,,,
2016-01-08,6.6,8.2,5.2,0.0,0.0,,,,5.1,,,,,
2016-01-09,6.9,8.0,5.4,0.0,0.2,,,,3.0,,,,,
2016-01-10,6.8,10.2,2.4,0.0,4.9,,,,2.7,,,,,
2016-01-11,7.0,10.4,2.6,0.0,4.4,,,,1.8,,,,,
2016-01-12,6.0,8.7,2.6,12.0,0.5,,,,2.3,,,,,
2016-01-13,4.2,6.5,0.6,1.0,1.0,,,,3.9,,,,,
2016-01-14,4.9,7.3,0.0,0.5,1.5,,,,3.5,,,,,
2016-01-15,4.1,9.5,-0.4,0.0,7.8,,,,1.7,,,,,
2016-01-16,5.1,11.1,-0.1,0.0,7.7,,,,1.7,,,,,
2016-01-17,5.9,9.2,3.2,23.5,0.0,,,,2.3,,,,,
2016-01-18,6.5,9.6,-0.2,12.0,0.1,,,,7.0,,,,,
2016-01-19,1.6,2.7,0.1,0.0,0.4,,,,10.9,,,,,
2016-01-20,1.6,4.5,-1.3,0.0,0.7,,,,3.1,,,,,
2016-01-21,3.1,7.8,-1.7,0.0,0.9,,,,1.9,,,,,
2016-01-22,5.4,6.8,4.2,21.5,0.6,,,,2.1,,,,,
2016-01-23,2.7,5.5,-2.4,3.5,0.0,,,,3.2,,,,,
2016-01-24,-2.9,0.1,-5.2,0.0,0.0,,,,8.5,,,,,
2016-01-25,0.9,2.8,-0.8,0.5,0.3,,,,5.3,,,,,
2016-01-26,5.3,7.3,0.9,0.0,0.1,,,,5.7,,,,,
2016-01-27,7.4,10.3,3.4,0.0,2.9,,,,4.3,,,,,
2016-01-28,7.4,8.8,4.2,11.5,0.0,,,,1.6,,,,,
2016-01-29,9.7,10.8,8.2,37.0,0.0,,,,3.6,,,,,
2016-01-30,9.9,12.2,6.2,1.5,6.0,,,,5.7,,,,,
2016-01-31,6.9,10.8,3.8,2.5,3.8,,,,2.1,,,,,
2016-02-01,5.4,7.5,2.7,0.5,0.0,,,,1.3,,,,,
2016-02-02,5.3,6.6,2.4,12.5,0.1,,,,3.0,,,,,
2016-02-03,4.1,7.3,0.0,14.0,0.4,,,,1.2,,,,,
2016-02-04,3.3,8.9,-1.2,0.0,9.4,,,,2.8,,,,,
2016-02-05,3.2,9.1,-0.7,0.0,7.3,,,,2.0,,,,,
2016-02-06,4.5,6.4,-0.1,0.0,1.9,,,,3.0,,,,,
2016-02-07,3.2,6.9,0.3,13.0,3.3,,,,2.1,,,,,
2016-02-08,5.3,8.7,0.0,3.5,4.3,,,,3.9,,,,,
2016-02-09,7.3,10.4,0.5,0.0,8.4,,,,6.1,,,,,
2016-02-10,4.2,11.4,-1.1,0.0,10.0,,,,1.5,,,,,
2016-02-11,7.5,16.5,-1.5,0.0,9.6,,,,2.1,,,,,
2016-02-12,14.0,16.2,11.0,2.0,0.1,,,,5.3,,,,,
2016-02-13,17.0,19.9,14.3,55.5,4.3,,,,3.8,,,,,
2016-02-14,10.3,18.2,6.5,5.0,0.1,,,,7.5,,,,,
2016-02-15,3.4,6.5,1.4,0.0,1.3,,,,5.7,,,,,
2016-02-16,4.3,7.5,1.9,0.0,1.2,,,,6.7,,,,,
2016-02-17,4.1,7.2,-2.0,0.0,6.9,,,,4.4,,,,,
2016-02-18,5.5,11.0,-2.1,0.0,6.7,,,,3.2,,,,,
