calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,9.1,13.1,5.8,,8.1,10.49,,,2.7,6.9,1028.1,60,1030.5,5.0
2016-01-02,11.5,14.8,9.2,0.0,0.2,4.45,,,2.2,9.0,1022.5,66,1024.9,9.3
2016-01-03,12.7,16.2,10.5,0.0,1.0,5.68,,,1.9,11.4,1017.2,78,1019.6,7.5
2016-01-04,12.7,16.0,8.5,,6.5,8.46,,,3.1,9.9,1017.9,68,1020.3,2.3
2016-01-05,10.2,12.6,8.6,0.0,0.0,1.67,,,1.6,8.6,1020.6,70,1023.0,10.0
2016-01-06,9.6,12.2,7.5,,0.0,4.79,,,1.6,7.9,1018.6,67,1021.0,8.3
2016-01-07,9.4,11.1,8.5,0.0,1.5,5.08,,,5.4,6.2,1018.1,52,1020.5,8.3
2016-01-08,7.4,9.0,5.6,0.0,0.0,1.18,,,5.9,5.8,1017.6,57,1020.0,10.0
2016-01-09,8.0,8.5,7.3,0.0,0.5,3.38,,,4.5,5.3,1020.9,50,1023.3,9.5
2016-01-10,8.6,11.0,5.8,,5.9,9.11,,,3.7,5.9,1021.9,53,1024.3,5.8
2016-01-11,8.2,11.6,5.3,,2.4,7.17,,,2.1,6.5,1019.4,60,1021.8,9.0
2016-01-12,8.1,10.3,6.2,1.0,3.6,7.10,,,3.4,6.2,1016.0,57,1018.4,9.3
2016-01-13,6.6,7.4,5.0,0.5,0.2,2.72,,,6.2,5.0,1015.9,52,1018.3,8.8
2016-01-14,7.1,8.3,6.2,0.0,1.1,5.08,,,5.3,5.1,1017.8,50,1020.2,9.8
2016-01-15,7.1,10.6,4.9,0.0,6.6,10.37,,,1.9,4.9,1018.6,49,1021.0,3.0
2016-01-16,7.3,10.5,4.1,0.0,7.5,11.11,,,1.9,6.6,1019.4,65,1021.8,4.3
2016-01-17,7.2,9.1,6.1,26.0,0.0,1.46,,,2.6,8.0,1012.4,79,1014.8,10.0
2016-01-18,7.2,10.4,1.1,8.0,1.3,4.84,,,7.8,6.7,1005.3,65,1007.7,10.0
2016-01-19,2.7,3.7,1.1,1.0,0.4,3.27,0,,11.2,3.7,1013.7,50,1016.1,9.3
2016-01-20,2.8,4.6,1.0,0.0,0.3,3.01,0,,4.4,4.5,1022.5,61,1025.0,8.5
2016-01-21,5.2,8.4,2.0,0.0,1.7,5.34,,,2.8,5.2,1020.9,59,1023.3,10.0
2016-01-22,7.1,9.1,5.7,1.5,2.1,6.90,,,3.2,6.7,1021.5,66,1023.9,8.5
2016-01-23,3.9,6.4,0.8,7.0,0.0,1.33,,,4.5,5.6,1020.5,68,1022.9,10.0
2016-01-24,-1.7,1.1,-3.8,0.5,0.0,1.76,2,3,9.3,3.1,1017.4,58,1019.9,9.8
2016-01-25,2.1,3.6,0.5,1.0,0.2,2.81,1,,5.9,4.5,1023.3,64,1025.8,9.5
2016-01-26,5.7,7.7,2.9,0.5,0.0,1.20,,,5.5,6.2,1024.0,67,1026.4,10.0
2016-01-27,8.6,10.9,6.9,,0.9,6.43,,,4.2,6.7,1027.0,59,1029.4,10.0
2016-01-28,7.6,9.3,6.6,11.0,0.0,1.32,,,2.0,9.4,1024.5,89,1026.9,10.0
2016-01-29,10.4,11.4,9.2,35.5,0.0,1.10,,,1.6,11.8,1015.4,94,1017.8,10.0
2016-01-30,10.5,14.8,8.4,0.0,5.8,11.90,,,2.2,8.6,1017.8,68,1020.2,8.0
2016-01-31,9.4,12.5,7.0,0.5,6.8,11.48,,,2.6,8.0,1022.1,69,1024.5,7.0
2016-02-01,7.0,8.8,5.9,0.5,0.1,2.56,,,2.0,6.5,1020.8,65,1023.2,10.0
2016-02-02,6.0,7.4,5.0,2.5,0.4,2.16,,,3.2,6.3,1020.4,67,1022.8,9.3
2016-02-03,6.0,7.9,4.4,4.0,0.8,3.75,,,2.2,7.4,1022.1,79,1024.5,8.0
2016-02-04,6.8,10.2,3.1,,7.4,12.49,,,3.8,5.9,1021.4,60,1023.9,5.0
2016-02-05,7.4,10.5,4.7,,3.9,9.30,,,2.8,5.7,1018.1,56,1020.5,8.0
2016-02-06,5.7,7.5,4.1,0.5,0.9,6.28,,,4.2,4.8,1016.9,53,1019.3,8.3
2016-02-07,4.8,8.6,2.1,2.0,4.9,11.25,,,2.2,5.9,1017.8,70,1020.2,8.5
2016-02-08,6.6,9.2,3.5,0.0,1.9,7.23,,,4.5,5.7,1016.4,59,1018.8,7.3
2016-02-09,9.4,11.0,7.7,0.0,9.1,15.30,,,7.0,4.6,1017.4,39,1019.8,3.8
2016-02-10,8.0,12.5,4.3,,10.3,15.90,,,2.5,5.6,1023.4,53,1025.8,0.5
2016-02-11,8.3,11.9,4.7,,9.1,14.56,,,2.3,7.5,1025.7,68,1028.1,5.0
2016-02-12,12.1,14.2,9.4,1.5,0.2,5.09,,,3.3,10.4,1020.8,73,1023.2,9.3
2016-02-13,13.6,15.2,12.2,34.5,0.0,4.70,,,3.0,14.5,1010.1,93,1012.5,10.0
2016-02-14,10.8,16.8,6.7,2.5,0.1,3.62,,,8.2,9.7,1007.3,72,1009.7,10.0
2016-02-15,4.1,7.0,3.0,0.0,0.7,5.45,,,7.4,3.9,1014.2,48,1016.6,10.0
2016-02-16,5.0,8.3,2.0,0.5,0.7,5.26,,,7.0,5.2,1016.6,60,1019.0,10.0
2016-02-17,6.1,8.2,3.1,0.0,4.9,11.20,,,5.7,4.4,1020.8,47,1023.2,5.8
