calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.1,9.8,-0.7,0.0,5.2,,,,0.7,,,,,
2016-01-02,8.1,11.8,3.7,0.0,1.7,,,,1.7,,,,,
2016-01-03,7.0,15.3,2.4,0.0,2.4,,,,0.5,,,,,
2016-01-04,5.3,13.3,0.2,0.0,2.5,,,,0.8,,,,,
2016-01-05,3.4,8.9,-0.7,1.0,0.0,,,,0.3,,,,,
2016-01-06,4.0,9.1,0.9,0.0,0.4,,,,0.4,,,,,
2016-01-07,3.6,7.3,0.9,0.0,0.6,,,,0.9,,,,,
2016-01-08,2.3,4.2,1.0,0.5,0.0,,,,0.7,,,,,
2016-01-09,1.8,5.3,-0.3,0.0,0.7,,,,0.5,,,,,
2016-01-10,2.2,8.1,-1.1,0.0,4.1,,,,0.7,,,,,
2016-01-11,2.8,9.2,-1.2,0.0,4.6,,,,0.6,,,,,
2016-01-12,2.2,6.0,-0.4,5.5,0.7,,,,0.6,,,,,
2016-01-13,0.8,3.4,-0.6,0.5,0.6,,,,0.7,,,,,
2016-01-14,1.0,3.9,-0.5,6.0,0.6,,,,0.5,,,,,
2016-01-15,1.3,6.6,-1.9,1.5,6.0,,,,,,,,,
2016-01-16,1.9,10.0,-2.3,0.0,7.4,,,,0.4,,,,,
2016-01-17,1.9,7.6,-1.6,27.0,0.0,,,,1.0,,,,,
2016-01-18,2.8,6.2,-2.6,22.5,0.6,,,,2.3,,,,,
2016-01-19,-2.7,-1.7,-3.8,20.5,0.0,,,,2.9,,,,,
2016-01-20,-1.9,1.4,-4.5,6.5,0.6,,,,0.7,,,,,
2016-01-21,-2.0,3.4,-7.5,1.0,1.7,,,,,,,,,
2016-01-22,1.3,5.6,-0.9,4.0,4.2,,,,,,,,,
2016-01-23,-0.9,0.7,-4.0,17.0,0.0,,,,,,,,,
2016-01-24,-6.6,-3.8,-7.8,30.0,0.0,,,,,,,,,
2016-01-25,-3.5,-0.3,-6.4,8.5,0.7,,,,,,,,,
2016-01-26,-0.7,2.2,-6.0,0.0,0.0,,,,0.6,,,,,
2016-01-27,1.0,5.9,-1.9,0.5,3.5,,,,0.4,,,,,
2016-01-28,1.0,3.4,-0.9,4.0,0.0,,,,0.3,,,,,
2016-01-29,2.6,4.7,1.2,28.5,0.0,,,,0.6,,,,,
2016-01-30,3.9,9.3,-0.6,0.0,4.9,,,,0.9,,,,,
2016-01-31,1.7,7.2,-1.2,0.5,1.3,,,,0.4,,,,,
2016-02-01,1.6,5.3,-0.6,0.5,0.0,,,,0.3,,,,,
2016-02-02,1.1,5.6,-1.2,3.0,2.0,,,,0.4,,,,,
2016-02-03,1.8,6.2,-0.8,0.0,1.6,,,,0.6,,,,,
2016-02-04,0.9,7.2,-3.1,0.0,6.3,,,,1.0,,,,,
2016-02-05,0.8,7.4,-2.8,0.0,6.8,,,,0.7,,,,,
2016-02-06,0.4,3.7,-2.5,0.5,1.0,,,,0.8,,,,,
2016-02-07,0.6,4.7,-2.5,3.0,5.6,,,,0.8,,,,,
2016-02-08,2.4,6.8,-0.9,1.0,3.0,,,,1.8,,,,,
2016-02-09,3.4,6.8,-2.5,0.5,4.4,,,,2.5,,,,,
2016-02-10,1.7,10.8,-4.3,0.0,9.6,,,,0.7,,,,,
2016-02-11,4.4,15.0,-4.7,0.0,9.4,,,,0.8,,,,,
2016-02-12,12.4,15.3,9.0,0.5,1.6,,,,3.2,,,,,
2016-02-13,15.4,18.3,13.5,37.5,1.2,,,,2.1,,,,,
2016-02-14,9.3,17.2,4.2,3.0,0.0,,,,2.9,,,,,
2016-02-15,-0.2,4.3,-2.3,3.0,1.5,,,,1.6,,,,,
2016-02-16,-0.2,1.9,-2.5,5.5,0.4,,,,0.8,,,,,
2016-02-17,0.9,4.2,-3.6,1.5,2.5,,,,1.3,,,,,
2016-02-18,1.1,8.9,-5.3,0.0,9.5,,,,1.0,,,,,
2016-02-19,6.7,12.5,0.0,0.0,4.1,,,,1.2,,,,,
2016-02-20,5.9,8.3,4.5,33.0,0.0,,,,0.7,,,,,
2016-02-21,1.9,5.5,-1.9,2.5,7.5,,,,1.4,,,,,
2016-02-22,2.5,7.6,-2.9,0.5,1.0,,,,0.9,,,,,
2016-02-23,3.2,8.5,-0.2,1.0,1.6,,,,0.5,,,,,
2016-02-24,1.8,4.1,0.2,1.5,0.1,,,,0.9,,,,,
2016-02-25,0.1,4.0,-3.3,1.5,1.7,,,,0.8,,,,,
2016-02-26,1.4,7.6,-4.4,0.0,7.2,,,,1.1,,,,,
2016-02-27,5.1,8.7,2.0,6.0,0.4,,,,1.7,,,,,
2016-02-28,8.2,14.7,1.3,0.5,8.6,,,,1.4,,,,,
2016-02-29,1.8,11.2,-2.9,11.0,0.2,,,,2.0,,,,,
2016-03-01,-1.4,1.9,-6.1,9.5,1.2,,,,,,,,,
2016-03-02,0.9,9.7,-6.6,0.0,8.8,,,,0.8,,,,,
2016-03-03,4.9,15.5,-2.7,0.0,8.0,,,,0.7,,,,,
2016-03-04,9.7,15.9,1.5,1.0,1.0,,,,1.3,,,,,
2016-03-05,14.8,18.4,10.3,0.0,8.9,,,,3.2,,,,,
2016-03-06,14.8,16.8,10.7,22.5,0.3,,,,2.5,,,,,
2016-03-07,14.1,20.4,11.0,0.0,3.1,,,,0.8,,,,,
2016-03-08,9.6,12.0,8.1,0.0,0.1,,,,1.1,,,,,
2016-03-09,6.0,8.4,4.0,33.0,0.0,,,,1.8,,,,,
2016-03-10,4.9,9.0,1.9,3.5,0.5,,,,1.0,,,,,
2016-03-11,3.4,7.1,1.5,0.0,4.0,,,,1.1,,,,,
2016-03-12,3.0,8.3,-0.5,0.5,3.7,,,,0.7,,,,,
2016-03-13,3.9,9.4,-1.0,6.0,0.4,,,,0.5,,,,,
2016-03-14,5.0,9.2,2.7,2.0,1.7,,,,1.6,,,,,
2016-03-15,4.8,11.9,-1.4,0.0,9.5,,,,1.1,,,,,
2016-03-16,6.8,15.3,0.7,0.0,8.0,,,,1.1,,,,,
2016-03-17,9.9,19.0,-1.5,0.0,10.1,,,,1.5,,,,,
2016-03-18,13.5,14.7,12.3,11.0,0.1,,,,3.4,,,,,
2016-03-19,11.8,14.9,7.1,2.5,3.5,,,,1.7,,,,,
2016-03-20,7.0,12.1,1.9,0.0,9.4,,,,1.9,,,,,
2016-03-21,5.0,11.7,-0.3,0.0,10.7,,,,1.3,,,,,
2016-03-22,7.1,18.5,-3.1,0.0,11.1,,,,1.1,,,,,
2016-03-23,8.2,17.2,0.4,0.0,6.1,,,,1.4,,,,,
2016-03-24,5.6,10.0,3.1,0.0,6.1,,,,2.0,,,,,
2016-03-25,3.9,9.8,-1.5,0.0,9.3,,,,1.4,,,,,
2016-03-26,4.7,14.1,-4.1,0.0,10.2,,,,0.8,,,,,
2016-03-27,4.9,10.0,0.6,1.0,5.3,,,,1.0,,,,,
2016-03-28,6.0,14.5,-0.6,0.5,9.6,,,,1.3,,,,,
2016-03-29,8.2,16.7,-1.3,0.0,5.2,,,,1.4,,,,,
2016-03-30,13.0,18.9,8.2,0.0,3.3,,,,1.8,,,,,
2016-03-31,12.0,18.1,6.1,5.5,1.9,,,,0.8,,,,,
2016-04-01,12.4,14.3,11.1,16.5,0.0,,,,0.7,,,,,
2016-04-02,14.6,19.7,9.8,0.0,3.5,,,,1.4,,,,,
2016-04-03,16.2,19.3,13.8,4.0,0.0,,,,1.6,,,,,
2016-04-04,11.8,14.0,9.4,9.5,0.0,,,,1.0,,,,,
2016-04-05,10.6,17.0,5.8,0.0,6.0,,,,0.8,,,,,
2016-04-06,12.5,22.4,2.0,5.0,6.3,,,,1.3,,,,,
2016-04-07,15.2,19.9,11.4,48.5,0.0,,,,2.5,,,,,
2016-04-08,12.9,20.8,8.6,0.0,5.5,,,,0.7,,,,,
2016-04-09,14.8,23.6,7.4,0.0,9.1,,,,1.2,,,,,
2016-04-10,13.5,20.2,8.1,0.0,2.5,,,,0.9,,,,,
2016-04-11,9.5,14.8,2.7,0.0,9.2,,,,1.8,,,,,
2016-04-12,10.0,18.1,-0.4,0.0,8.6,,,,1.6,,,,,
2016-04-13,14.6,18.0,12.3,23.5,2.8,,,,1.9,,,,,
