calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.0,13.0,0.2,0.0,6.7,,,,1.5,7.3,1028.3,86,1030.8,
2016-01-02,7.6,12.5,2.6,0.0,1.6,,,,0.8,9.1,1023.1,87,1025.5,
2016-01-03,9.8,17.3,5.7,0.0,3.3,,,,1.2,10.7,1017.4,89,1019.8,
2016-01-04,8.2,16.6,3.3,,6.1,,,,1.5,8.6,1018.0,82,1020.5,
2016-01-05,6.6,12.0,3.8,0.5,0.0,,,,1.1,8.6,1020.7,89,1023.2,
2016-01-06,6.5,11.5,3.2,,0.2,,,,1.0,8.1,1018.6,85,1021.1,
2016-01-07,6.0,11.1,2.2,0.0,4.3,,,,1.9,6.5,1018.0,72,1020.4,
2016-01-08,4.6,6.1,1.6,0.0,0.0,,,,1.4,6.7,1017.6,79,1020.1,
2016-01-09,4.6,8.6,1.3,0.0,1.7,,,,1.5,6.2,1021.0,75,1023.5,
2016-01-10,4.7,12.1,-0.6,,7.1,,,,1.6,6.2,1021.9,76,1024.4,
2016-01-11,5.6,12.2,0.8,,4.3,,,,1.3,6.5,1019.5,74,1022.0,
2016-01-12,5.0,9.0,2.1,1.5,3.2,,,,1.6,7.4,1016.0,85,1018.4,
2016-01-13,2.8,6.1,0.9,1.0,1.1,,,,1.6,6.6,1015.9,88,1018.4,
2016-01-14,3.5,8.4,0.0,0.0,4.8,,,,1.8,6.2,1017.8,80,1020.2,
2016-01-15,3.7,10.4,-0.6,0.0,7.8,,,,1.6,5.3,1018.9,71,1021.4,
2016-01-16,3.5,11.6,-2.0,,8.7,,,,1.3,5.5,1019.9,74,1022.4,
2016-01-17,4.2,8.2,0.4,23.5,0.0,,,,1.7,7.3,1013.2,88,1015.6,
2016-01-18,5.8,9.3,-0.1,15.0,1.3,,3,3,3.7,7.2,1004.4,78,1006.8,
2016-01-19,-0.3,1.4,-1.0,6.0,0.7,,10,12,4.0,4.8,1013.3,80,1015.8,
2016-01-20,0.9,5.1,-1.7,0.5,4.9,,8,1,2.3,5.2,1022.2,80,1024.7,
2016-01-21,1.3,6.1,-2.4,0.0,0.4,,,,0.9,5.9,1021.2,88,1023.7,
2016-01-22,4.8,10.5,0.1,1.0,6.3,,,,1.7,6.7,1021.2,80,1023.7,
2016-01-23,2.6,5.5,-0.4,1.0,0.0,,,,1.8,6.1,1020.0,82,1022.5,
2016-01-24,-4.2,-0.4,-5.6,8.5,0.0,,11,14,3.1,3.6,1017.3,80,1019.8,
2016-01-25,-1.4,2.4,-7.4,1.0,3.8,,10,2,1.3,4.9,1023.5,88,1026.0,
2016-01-26,1.1,2.9,-0.3,0.5,0.0,,4,,0.6,6.5,1024.4,98,1026.9,
2016-01-27,3.9,9.9,0.0,,1.7,,,,0.9,7.2,1027.4,90,1029.8,
2016-01-28,5.1,7.4,1.2,6.0,0.0,,,,0.8,8.8,1025.3,98,1027.8,
2016-01-29,8.7,10.1,7.1,35.5,0.0,,,,1.0,11.1,1015.4,99,1017.8,
2016-01-30,8.8,14.2,3.9,0.0,4.7,,,,1.7,9.0,1017.7,81,1020.1,
2016-01-31,6.2,13.8,2.0,0.0,5.2,,,,1.6,7.3,1022.2,79,1024.6,
2016-02-01,5.3,8.9,2.3,0.0,0.4,,,,1.2,7.3,1020.6,83,1023.0,
2016-02-02,3.8,7.8,0.5,3.0,1.8,,,,1.4,7.1,1019.7,88,1022.2,
2016-02-03,4.1,10.0,0.4,0.0,2.6,,,,1.2,6.8,1022.0,84,1024.4,
2016-02-04,3.9,10.7,-1.7,,8.2,,,,1.7,5.7,1021.5,74,1024.0,
2016-02-05,3.9,11.3,-0.6,,6.2,,,,1.6,5.6,1018.2,73,1020.6,
2016-02-06,2.4,8.2,-1.0,0.0,5.0,,,,2.2,5.3,1016.7,75,1019.2,
2016-02-07,3.5,9.9,-0.8,0.0,7.4,,1,2,1.6,5.8,1017.6,77,1020.1,
2016-02-08,4.6,9.9,0.2,2.0,4.9,,,,2.5,6.5,1016.7,79,1019.2,
2016-02-09,5.5,10.7,0.8,0.5,8.2,,,,3.0,5.2,1017.2,61,1019.6,
2016-02-10,5.0,13.8,-1.8,,10.0,,,,1.3,5.0,1023.4,64,1025.9,
2016-02-11,6.2,16.1,-1.3,,9.4,,,,1.4,6.1,1026.3,69,1028.8,
2016-02-12,12.5,16.4,4.1,3.0,0.0,,,,2.8,10.2,1022.1,70,1024.5,
2016-02-13,15.9,17.9,13.6,46.0,0.0,,,,1.8,17.5,1010.6,97,1013.0,
2016-02-14,11.1,16.5,6.6,5.5,0.0,,,,4.2,10.5,1006.6,76,1009.0,
2016-02-15,3.4,6.6,1.2,0.0,4.4,,,,3.3,4.5,1013.7,58,1016.1,
2016-02-16,3.1,5.8,0.3,0.0,2.0,,,,2.3,5.5,1016.5,72,1019.0,
2016-02-17,4.7,8.8,-1.0,0.0,7.4,,,,2.7,4.6,1020.6,55,1023.0,
2016-02-18,4.0,11.9,-2.4,,9.3,,,,1.6,5.7,1023.3,72,1025.8,
2016-02-19,7.4,14.2,0.2,0.0,3.3,,,,1.3,7.5,1025.0,75,1027.5,
2016-02-20,8.0,9.8,6.6,35.0,0.0,,,,1.9,9.8,1016.4,92,1018.8,
2016-02-21,4.9,9.4,0.6,1.0,9.9,,,,2.4,5.4,1024.7,65,1027.2,
2016-02-22,4.4,9.6,-0.9,0.0,0.4,,,,1.1,5.3,1028.3,66,1030.7,
2016-02-23,5.8,11.3,3.4,1.5,1.5,,,,1.3,7.6,1023.9,84,1026.4,
2016-02-24,4.9,9.7,3.1,1.0,1.1,,,,1.5,7.2,1024.1,84,1026.6,
2016-02-25,3.1,7.9,-0.9,0.0,4.1,,,,2.0,5.6,1028.9,76,1031.4,
2016-02-26,4.2,11.5,-2.2,0.0,8.4,,,,1.9,5.1,1028.3,67,1030.8,
2016-02-27,5.3,10.2,1.3,8.5,0.4,,,,1.2,,1024.2,,1026.6,
2016-02-28,9.7,17.1,4.1,0.0,8.0,,,,1.6,,1020.3,,1022.7,
2016-02-29,4.2,10.5,-1.0,6.0,0.8,,5,5,3.2,6.6,1018.0,80,1020.5,
2016-03-01,1.2,5.5,-1.2,3.5,3.2,,8,5,1.5,5.7,1023.6,87,1026.1,
2016-03-02,4.3,13.6,-1.9,,9.2,,,,1.6,5.6,1024.2,73,1026.7,
2016-03-03,7.8,17.5,-1.0,,9.8,,,,1.6,7.4,1024.2,73,1026.6,
2016-03-04,11.7,17.3,6.8,0.0,0.7,,,,1.3,10.7,1025.5,79,1027.9,
