calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.7,11.9,-0.2,0.0,7.2,,,,1.6,,,,,
2016-01-02,8.1,14.0,1.7,0.0,1.2,,,,1.1,,,,,
2016-01-03,10.4,16.2,6.4,0.0,2.8,,,,1.2,,,,,
2016-01-04,9.1,16.1,3.5,0.0,6.7,,,,1.8,,,,,
2016-01-05,7.3,11.3,4.1,0.5,0.0,,,,1.3,,,,,
2016-01-06,7.4,11.0,3.9,0.0,0.2,,,,1.2,,,,,
2016-01-07,6.5,11.6,2.8,0.0,4.8,,,,1.8,,,,,
2016-01-08,6.0,9.2,3.5,0.0,0.7,,,,2.2,,,,,
2016-01-09,4.5,9.6,-0.2,0.0,4.2,,,,1.7,,,,,
2016-01-10,5.2,11.7,-0.1,0.0,8.3,,,,2.0,,,,,
2016-01-11,6.8,12.2,1.3,0.0,5.6,,,,1.7,,,,,
2016-01-12,6.7,11.5,3.0,1.0,7.2,,,,2.1,,,,,
2016-01-13,3.0,6.7,-0.5,0.5,2.1,,,,2.0,,,,,
2016-01-14,3.7,9.1,-0.9,0.0,4.8,,,,1.8,,,,,
2016-01-15,4.1,10.7,-0.5,0.0,7.2,,,,1.7,,,,,
2016-01-16,4.1,9.7,-0.2,0.0,9.2,,,,2.0,,,,,
2016-01-17,5.3,8.2,1.2,17.5,0.0,,,,2.2,,,,,
2016-01-18,5.8,10.9,-0.4,8.0,4.0,,,,3.8,,,,,
2016-01-19,0.8,4.1,-0.9,0.0,3.9,,,,5.0,,,,,
2016-01-20,1.6,6.9,-1.4,0.0,8.8,,,,3.2,,,,,
2016-01-21,2.8,7.9,-2.7,0.0,3.4,,,,1.6,,,,,
2016-01-22,5.2,10.0,0.0,0.0,4.5,,,,1.7,,,,,
2016-01-23,3.9,9.5,0.4,0.0,2.8,,,,2.3,,,,,
2016-01-24,-2.7,0.5,-5.0,0.0,2.8,,,,4.2,,,,,
2016-01-25,0.3,5.3,-4.3,0.0,7.1,,,,2.3,,,,,
2016-01-26,2.8,4.8,-0.3,1.5,0.0,,,,1.0,,,,,
2016-01-27,5.6,10.1,1.3,0.0,3.6,,,,1.5,,,,,
2016-01-28,6.4,8.5,1.7,5.0,0.0,,,,0.8,,,,,
2016-01-29,8.7,10.1,7.9,32.5,0.0,,,,1.1,,,,,
2016-01-30,8.6,10.7,4.7,1.5,1.0,,,,1.8,,,,,
2016-01-31,6.9,11.9,2.4,0.0,7.4,,,,1.9,,,,,
2016-02-01,5.5,10.0,3.1,0.0,1.7,,,,1.8,,,,,
2016-02-02,4.6,9.9,-0.3,0.0,4.2,,,,1.6,,,,,
2016-02-03,4.4,8.5,0.3,0.0,0.6,,,,1.4,,,,,
2016-02-04,3.8,10.1,-2.0,0.0,7.4,,,,2.2,,,,,
2016-02-05,4.2,10.3,-0.4,0.0,5.6,,,,1.7,,,,,
2016-02-06,3.3,9.5,-1.3,0.0,4.8,,,,2.2,,,,,
2016-02-07,3.2,8.2,-1.3,0.0,7.7,,,,2.4,,,,,
2016-02-08,4.7,9.4,-0.9,0.0,7.5,,,,2.3,,,,,
2016-02-09,7.1,11.0,-0.4,0.0,9.1,,,,3.5,,,,,
2016-02-10,4.3,11.3,-1.6,0.0,10.1,,,,1.7,,,,,
2016-02-11,6.2,11.6,0.8,0.0,9.8,,,,2.1,,,,,
2016-02-12,9.8,12.2,4.5,1.5,0.0,,,,1.9,,,,,
2016-02-13,11.7,15.2,9.6,53.5,0.0,,,,1.4,,,,,
2016-02-14,11.3,15.3,7.0,5.5,3.1,,,,4.0,,,,,
2016-02-15,3.4,7.1,-1.0,0.0,5.3,,,,3.7,,,,,
2016-02-16,2.7,6.8,-1.6,3.5,5.6,,,,2.6,,,,,
