calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.4,7.6,-4.0,0.0,8.4,,,,2.7,,,,,
2016-01-02,2.4,8.7,-5.5,0.0,8.5,,,,2.5,,,,,
2016-01-03,6.1,13.1,-1.7,0.0,8.8,,,,2.1,,,,,
2016-01-04,7.4,16.2,-1.1,0.0,8.9,,,,4.1,,,,,
2016-01-05,7.6,12.5,5.3,0.0,6.2,,,,5.5,,,,,
2016-01-06,4.3,8.2,0.3,0.0,1.7,,,,1.6,,,,,
2016-01-07,4.0,8.7,-0.7,0.0,6.8,,,,4.0,,,,,
2016-01-08,1.9,7.3,-4.8,0.0,8.9,,,,3.7,,,,,
2016-01-09,2.4,8.2,-2.6,0.0,8.9,,,,3.1,,,,,
2016-01-10,3.4,8.0,-3.2,0.0,8.6,,,,5.6,,,,,
2016-01-11,2.9,8.5,-1.1,0.0,7.7,,,,3.4,,,,,
2016-01-12,-0.1,3.2,-1.7,0.0,1.2,,,,2.2,,,,,
2016-01-13,0.3,5.2,-6.4,0.0,8.9,,,,2.5,,,,,
2016-01-14,1.5,5.7,-0.7,0.0,6.4,,,,4.5,,,,,
2016-01-15,1.4,7.3,-4.3,0.0,9.0,,,,3.2,,,,,
2016-01-16,0.4,7.9,-5.5,0.0,9.1,,,,2.4,,,,,
2016-01-17,-0.5,3.6,-5.9,5.0,4.1,,,,1.1,,,,,
2016-01-18,1.2,5.6,-1.9,49.5,0.7,,,,3.3,,,,,
2016-01-19,-3.4,0.7,-6.8,2.5,8.2,,,,4.8,,,,,
2016-01-20,-3.7,1.2,-9.0,0.0,6.2,,,,3.8,,,,,
2016-01-21,-1.8,2.7,-7.6,0.0,7.8,,,,3.0,,,,,
2016-01-22,-2.6,2.9,-8.4,0.0,9.1,,,,2.9,,,,,
2016-01-23,-4.0,0.1,-9.3,0.5,0.1,,,,1.0,,,,,
2016-01-24,-5.3,-1.3,-8.5,0.0,7.2,,,,5.7,,,,,
2016-01-25,-4.7,-0.1,-9.5,0.0,9.4,,,,4.9,,,,,
2016-01-26,-5.1,2.4,-11.5,0.0,9.4,,,,1.6,,,,,
2016-01-27,0.9,6.6,-8.0,0.0,9.5,,,,3.0,,,,,
2016-01-28,0.3,7.0,-7.2,0.0,8.0,,,,1.4,,,,,
2016-01-29,1.6,2.6,0.7,31.0,0.0,,,,0.4,,,,,
2016-01-30,1.1,3.3,-0.3,2.5,0.0,,,,1.4,,,,,
2016-01-31,1.0,5.7,-3.9,0.0,9.6,,,,2.0,,,,,
2016-02-01,0.2,3.3,-2.5,0.0,2.6,,,,2.4,,,,,
2016-02-02,-1.9,4.5,-7.4,0.0,8.9,,,,2.1,,,,,
2016-02-03,-2.3,3.5,-8.5,0.0,9.7,,,,1.8,,,,,
2016-02-04,-1.2,4.9,-7.4,0.0,9.7,,,,1.9,,,,,
2016-02-05,0.5,7.0,-5.3,0.0,8.4,,,,1.3,,,,,
2016-02-06,0.3,5.9,-4.6,0.0,3.0,,,,2.5,,,,,
2016-02-07,-1.6,4.2,-7.3,0.0,9.9,,,,2.3,,,,,
2016-02-08,-0.5,5.2,-4.1,0.0,7.7,,,,1.4,,,,,
2016-02-09,0.3,4.5,-3.1,0.0,6.1,,,,3.5,,,,,
2016-02-10,-2.1,3.4,-7.0,0.0,10.0,,,,4.4,,,,,
2016-02-11,-0.3,7.6,-7.3,0.0,10.1,,,,1.9,,,,,
2016-02-12,2.5,7.9,-3.6,0.0,8.4,,,,1.4,,,,,
2016-02-13,7.3,12.3,1.2,2.5,1.4,,,,1.3,,,,,
2016-02-14,13.1,20.6,8.7,20.0,2.6,,,,3.4,,,,,
2016-02-15,3.1,10.9,-4.2,0.0,4.9,,,,5.3,,,,,
2016-02-16,-0.5,5.0,-4.9,0.0,9.9,,,,3.8,,,,,
2016-02-17,-0.6,5.3,-5.2,0.0,7.3,,,,3.3,,,,,
2016-02-18,-0.6,6.5,-6.6,0.0,9.5,,,,1.9,,,,,
2016-02-19,4.2,10.8,-3.1,0.0,9.8,,,,3.3,,,,,
2016-02-20,3.6,9.2,0.2,23.0,0.0,,,,1.1,,,,,
2016-02-21,5.4,8.8,-0.2,0.0,10.1,,,,5.1,,,,,
2016-02-22,2.0,6.6,-3.9,0.0,7.2,,,,1.9,,,,,
2016-02-23,4.9,10.1,-0.4,0.0,6.7,,,,3.0,,,,,
2016-02-24,0.6,6.0,-3.6,0.0,7.8,,,,3.4,,,,,
2016-02-25,-0.7,5.0,-6.1,0.0,10.5,,,,3.3,,,,,
2016-02-26,0.3,5.5,-6.1,0.0,8.2,,,,4.1,,,,,
2016-02-27,2.2,6.9,-3.9,0.0,8.3,,,,2.9,,,,,
2016-02-28,5.5,11.2,1.5,0.0,10.2,,,,3.4,,,,,
2016-02-29,3.7,10.4,-3.6,0.0,3.7,,,,3.2,,,,,
2016-03-01,-1.9,3.7,-5.7,0.0,10.2,,,,4.6,,,,,
2016-03-02,1.1,7.9,-5.4,0.0,10.7,,,,3.9,,,,,
2016-03-03,4.4,12.8,-4.8,0.0,10.8,,,,3.6,,,,,
2016-03-04,5.5,13.5,-2.2,0.0,10.8,,,,1.9,,,,,
2016-03-05,7.4,14.8,1.2,0.0,4.3,,,,1.5,,,,,
2016-03-06,8.9,15.0,2.2,0.0,5.3,,,,1.8,,,,,
2016-03-07,9.6,11.9,7.9,1.0,0.0,,,,0.6,,,,,
2016-03-08,12.5,19.8,7.1,0.0,7.1,,,,2.2,,,,,
2016-03-09,7.3,13.4,3.8,24.0,0.0,,,,1.1,,,,,
2016-03-10,2.0,6.6,-0.7,2.5,1.9,,,,1.5,,,,,
2016-03-11,0.4,4.1,-1.8,0.5,1.9,,,,,,,,,
2016-03-12,1.2,5.7,-2.0,0.0,2.7,,,,1.2,,,,,
2016-03-13,3.3,8.1,-0.3,0.0,6.0,,,,1.2,,,,,
2016-03-14,0.8,2.6,-1.7,11.5,0.0,,,,,,,,,
2016-03-15,0.5,7.6,-4.8,0.0,10.7,,,,,,,,,
2016-03-16,3.4,9.8,-2.2,0.0,8.3,,,,1.7,,,,,
2016-03-17,8.5,18.0,-0.4,0.0,11.4,,,,1.8,,,,,
2016-03-18,8.1,13.1,1.4,0.0,4.1,,,,1.7,,,,,
2016-03-19,10.8,17.4,7.3,4.5,3.1,,,,1.9,,,,,
2016-03-20,6.8,13.7,1.6,0.0,11.0,,,,2.6,,,,,
2016-03-21,4.4,12.4,-1.2,0.0,7.9,,,,2.5,,,,,
2016-03-22,5.2,12.5,-2.5,0.0,10.7,,,,2.2,,,,,
2016-03-23,7.7,13.2,1.8,0.0,2.2,,,,3.2,,,,,
2016-03-24,3.3,10.2,-2.0,0.0,7.7,,,,3.1,,,,,
2016-03-25,1.9,9.5,-3.2,0.0,10.6,,,,3.4,,,,,
2016-03-26,3.0,9.3,-4.4,0.0,8.7,,,,1.5,,,,,
2016-03-27,6.0,11.5,1.4,0.0,5.2,,,,1.6,,,,,
2016-03-28,6.1,12.7,0.5,0.0,7.1,,,,2.0,,,,,
2016-03-29,6.6,12.8,-0.6,0.0,8.5,,,,1.9,,,,,
2016-03-30,9.8,15.6,1.5,0.0,9.2,,,,2.9,,,,,
2016-03-31,10.5,17.2,4.5,0.0,10.9,,,,2.8,,,,,
2016-04-01,9.0,14.6,2.2,0.0,5.7,,,,2.0,,,,,
2016-04-02,9.9,15.9,5.8,0.0,4.2,,,,1.6,,,,,
2016-04-03,11.0,14.3,7.9,0.0,3.0,,,,2.1,,,,,
2016-04-04,12.6,18.6,8.0,2.0,2.5,,,,1.5,,,,,
2016-04-05,8.7,13.3,4.3,0.0,3.1,,,,1.3,,,,,
2016-04-06,10.0,17.7,1.5,0.0,9.7,,,,2.3,,,,,
2016-04-07,10.1,19.0,5.5,38.5,0.0,,,,2.1,,,,,
2016-04-08,13.7,18.2,8.3,0.0,3.8,,,,3.2,,,,,
2016-04-09,11.3,18.2,3.4,0.0,8.8,,,,1.9,,,,,
2016-04-10,12.7,17.8,6.7,0.0,1.3,,,,2.4,,,,,
2016-04-11,7.0,12.3,-0.7,0.5,10.3,,,,4.7,,,,,
2016-04-12,5.1,13.8,-3.4,0.0,11.1,,,,1.8,,,,,
2016-04-13,8.1,11.6,5.5,1.0,0.0,,,,1.1,,,,,
