calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.3,12.5,-0.2,0.0,8.1,,,,1.2,,,,,
2016-01-02,4.0,12.2,-1.1,0.0,7.6,,,,1.3,,,,,
2016-01-03,5.7,15.4,-0.7,0.0,6.4,,,,1.4,,,,,
2016-01-04,6.3,15.7,-0.1,0.0,8.0,,,,1.3,,,,,
2016-01-05,6.7,15.1,-0.1,0.0,6.3,,,,1.1,,,,,
2016-01-06,7.7,12.1,4.0,0.0,0.0,,,,0.7,,,,,
2016-01-07,7.8,14.6,2.7,0.0,7.6,,,,1.0,,,,,
2016-01-08,5.1,12.5,0.1,0.0,6.9,,,,0.8,,,,,
2016-01-09,4.2,12.5,-1.7,0.0,7.5,,,,1.3,,,,,
2016-01-10,4.3,12.4,-1.3,0.0,8.1,,,,1.1,,,,,
2016-01-11,3.9,10.4,-1.6,0.0,0.3,,,,0.9,,,,,
2016-01-12,3.9,6.1,-1.5,0.0,0.0,,,,1.0,,,,,
2016-01-13,2.2,10.4,-2.3,0.0,8.2,,,,1.3,,,,,
2016-01-14,2.3,11.2,-3.5,0.0,8.2,,,,1.0,,,,,
2016-01-15,3.4,11.3,-2.9,0.0,7.0,,,,1.2,,,,,
2016-01-16,4.3,12.6,-1.4,0.0,8.0,,,,1.1,,,,,
2016-01-17,4.6,10.1,-0.1,6.0,2.2,,,,1.2,,,,,
2016-01-18,2.7,6.8,0.7,61.5,2.5,,,,2.4,,,,,
2016-01-19,3.1,6.1,-0.7,0.0,7.2,,,,2.2,,,,,
2016-01-20,2.6,10.0,-2.8,0.0,8.3,,,,1.8,,,,,
2016-01-21,2.6,9.2,-2.8,0.0,7.0,,,,1.4,,,,,
2016-01-22,3.7,10.1,0.2,0.0,6.4,,,,1.5,,,,,
2016-01-23,3.1,5.4,1.2,0.0,0.2,,,,1.5,,,,,
2016-01-24,0.7,4.9,-2.4,0.0,8.1,,,,1.9,,,,,
2016-01-25,-0.4,7.3,-6.0,0.0,8.4,,,,1.3,,,,,
2016-01-26,0.9,8.9,-3.6,0.0,8.4,,,,1.6,,,,,
2016-01-27,2.6,12.2,-3.2,0.0,8.2,,,,1.5,,,,,
2016-01-28,4.5,13.5,-2.1,0.0,8.4,,,,1.5,,,,,
2016-01-29,4.8,5.9,2.7,73.0,0.0,,,,1.1,,,,,
2016-01-30,5.8,8.3,4.9,10.5,0.0,,,,1.2,,,,,
2016-01-31,6.1,10.4,3.1,0.0,3.9,,,,1.5,,,,,
2016-02-01,3.0,4.3,1.3,3.0,0.0,,,,1.2,,,,,
2016-02-02,4.9,10.2,1.1,0.0,5.4,,,,1.4,,,,,
2016-02-03,4.0,8.2,0.2,0.0,3.5,,,,1.4,,,,,
2016-02-04,3.7,10.5,-0.6,0.0,8.6,,,,1.4,,,,,
